Sample	Array	Dye	Temps	Cinetique	Marquage	Hybridation	Arrosage
0	1	R	Ref	A	Mars26	Mars31	non
1	1	G	Tm24	A	Mars17	Mars31	non
0	2	R	Ref	C	Mars26	Avril1	non
1	2	G	Tm24	C	Mars27	Avril1	non
0	3	R	Ref	G	Mars26	Avril2	non
1	3	G	Tm24	G	Avril1	Avril2	non
0	4	R	Ref	A	Mars26	Mars31	non
2	4	G	T0	A	Mars17	Mars31	non
0	5	R	Ref	C	Mars26	Avril1	non
2	5	G	T0	C	Mars27	Avril1	non
0	6	R	Ref	G	Mars26	Avril2	non
2	6	G	T0	G	Avril1	Avril2	non
0	7	R	Ref	A	Mars26	Mars31	non
3	7	G	T6	A	Mars17	Mars31	h9
0	8	R	Ref	C	Mars26	Avril1	non
3	8	G	T6	C	Mars27	Avril1	h9
0	9	R	Ref	G	Mars26	Avril2	non
3	9	G	T6	G	Mars26	Avril2	h9
0	10	R	Ref	A	Mars26	Mars31	non
4	10	G	T12	A	Mars17	Mars31	h21
0	11	R	Ref	C	Mars26	Avril1	non
4	11	G	T12	C	Mars27	Avril1	h21
0	12	R	Ref	G	Mars26	Avril2	non
4	12	G	T12	G	Avril1	Avril2	h21
0	13	R	Ref	A	Mars26	Mars31	non
5	13	G	T18	A	Mars17	Mars31	h21
0	14	R	Ref	C	Mars26	Avril1	non
5	14	G	T18	C	Mars27	Avril1	h21
0	15	R	Ref	G	Mars26	Avril2	non
5	15	G	T18	G	Avril1	Avril2	h21
0	16	R	Ref	A	Mars26	Mars31	non
6	16	G	T24	A	Mars17	Mars31	h9
0	17	R	Ref	C	Mars26	Avril1	non
6	17	G	T24	C	Mars27	Avril1	h9
0	18	R	Ref	G	Mars26	Avril2	non
6	18	G	T24	G	Mars26	Avril2	h9
0	19	R	Ref	A	Mars26	Mars31	non
7	19	G	T30	A	Mars17	Mars31	h9
0	20	R	Ref	C	Mars26	Avril1	non
7	20	G	T30	C	Mars27	Avril1	h9
0	21	R	Ref	G	Mars26	Avril2	non
7	21	G	T30	G	Avril1	Avril2	h9
0	22	R	Ref	A	Mars26	Mars31	non
8	22	G	T42	A	Mars17	Mars31	h21
0	24	R	Ref	G	Mars26	Avril2	non
8	24	G	T42	G	Avril1	Avril2	h21
0	25	R	Ref	A	Mars26	Avril2	non
9	25	G	T54	A	Mars17	Avril2	h9
0	26	R	Ref	C	Mars26	Mars31	non
9	26	G	T54	C	Mars27	Mars31	h9
0	27	R	Ref	G	Mars26	Avril2	non
9	27	G	T54	G	Avril1	Avril2	h9
0	28	R	Ref	A	Mars26	Avril2	non
10	28	G	T96	A	Mars17	Avril2	h9
0	29	R	Ref	C	Mars26	Mars31	non
10	29	G	T96	C	Mars27	Mars31	h9
0	30	R	Ref	G	Mars26	Avril2	non
10	30	G	T96	G	Avril1	Avril2	h9
