Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Acyl	-0.59	0.11	-0.14	0.29	0.26	-0.15	-0.11	-0.44	1.98	3.3
FMR1	-0.39	-0.01	-0.31	-0.1	-0.32	0.01	0.91	1.57	1.91	1.69
Pa_0_1420	-0.21	-0.48	-0.4	-0.34	0.19	0	0	0.93	2.46	3.57
Pa_0_1470	-0.3	-0.26	-0.29	-0.08	0.08	-0.13	0.61	1.95	3.73	3.92
Pa_0_1520	0.82	-0.35	-0.22	-0.09	0.08	-0.08	0.1	-0.19	1.4	2.41
Pa_0_1630	-0.01	-0.04	-0.4	-0.52	0.01	-0.13	0.7	1.8	2.12	2.67
Pa_0_30	-0.35	-0.1	-0.19	-0.22	0.02	0.03	-0.02	0.52	2.7	2.12
Pa_0_430	-0.05	-0.27	-0.26	-0.34	-0.07	0.05	0.66	2.15	3.34	3.04
Pa_0_800	-0.2	-0.46	0.71	0	-0.07	-0.22	0	0.99	1.4	2.87
Pa_0_850	-0.53	-0.18	-0.6	-0.98	-0.57	0.18	1.36	2.09	2.16	0.77
Pa_1_10170	-0.7	-0.52	-0.38	-0.5	0.04	-0.04	0.5	1.57	2.86	2.51
Pa_1_10350	-0.81	-0.81	-1.21	-0.69	-0.2	0.2	1.71	2.06	1.25	0.41
Pa_1_10470	-0.45	-0.36	-0.69	0.11	-0.03	-0.02	0.02	0.95	1.72	1.97
Pa_1_1060	0	0.08	-0.02	0.07	0	-0.24	-0.14	-0.1	1.47	2.34
Pa_1_11330	-0.71	-0.43	-0.28	-0.42	-0.29	0.28	1.05	2.65	4.04	4.13
Pa_1_1150	-1.93	-0.8	-0.87	-0.71	-0.3	0.3	1.36	2.09	1.52	2.1
Pa_1_1180	-1.06	-1.69	-1.41	-1.08	-0.28	0.28	1.06	1.97	2.53	1.04
Pa_1_11865	-0.43	-0.4	-0.74	-0.43	0.19	0.51	1.55	1.95	2.03	-0.19
Pa_1_12180	-0.29	-0.08	-0.15	-0.41	-0.13	0.08	0.09	1.9	3.74	3.12
Pa_1_12190	-0.16	-0.13	-0.26	0.18	-0.06	-0.2	0.06	1.72	3.36	2.85
Pa_1_12530	-2.11	-0.65	-0.88	-1.37	-0.27	0.27	1.24	1.55	1.88	1
Pa_1_13000	-1.1	-0.42	-0.67	-0.64	-0.19	0.19	1.44	2.09	3.21	1.75
Pa_1_145	-0.93	-0.46	-0.79	-0.78	0.12	-0.12	0.2	1.04	1.97	2.63
Pa_1_14595	-1.32	-1.47	-1.16	-0.11	-0.16	0.11	1.28	3.04	4.57	3.74
Pa_1_14750	0.14	-0.19	-0.58	-0.46	-0.43	-0.14	0.38	0.49	1.85	2.36
Pa_1_15070	-0.74	0.4	-0.69	-0.95	-0.61	-0.19	0.19	1.65	2.83	2.33
Pa_1_15140	-1.05	0.05	-0.43	0.07	0.36	-0.05	-0.1	-0.66	1.02	2.13
Pa_1_15200	-1.07	-0.32	-0.33	-0.53	-0.14	0.14	1.65	2.92	3.1	2.66
Pa_1_15460	0.15	-0.12	-0.22	-0.36	-0.23	0.03	-0.03	1.38	5.96	5.45
Pa_1_15760	0.06	0.34	-0.06	-0.34	-0.43	-0.55	-0.68	0.81	5.05	4.64
Pa_1_15770	0.09	-0.09	-0.61	-0.39	-0.31	-0.68	0.28	1.78	1.86	1.08
Pa_1_15850	0	-0.48	-0.44	-0.49	-0.13	0	0.14	0.79	2.47	3.81
Pa_1_15970	-0.31	-0.23	-0.29	-0.3	-0.15	0.15	0.52	1.92	3.33	5.23
Pa_1_15980	-1.21	-0.83	-1.24	-1.47	-0.91	0.83	2.76	2.69	2.35	2.13
Pa_1_16525	-1.72	-1.37	-1.53	-1.41	-0.09	0.09	0.77	2.18	3.67	2.88
Pa_1_16570	-0.2	-0.02	-0.11	-0.22	0.28	0.02	-0.12	0.6	4.5	4.04
Pa_1_16640	-0.05	0.03	-0.41	-0.44	-0.32	-0.03	0.53	1.17	2.22	1.73
Pa_1_16700	0.07	0.38	0.67	-0.07	-0.46	-0.59	-0.83	-0.13	2.94	2.59
Pa_1_17065	-1.88	0.17	-0.22	-0.4	-0.43	-0.07	0.07	0.48	1.18	1.15
Pa_1_17920	-1.48	-1.03	-1.22	-0.48	0.25	-0.15	0.15	0.71	2.63	4.26
Pa_1_18160	-0.77	0.1	-0.1	0.12	-0.26	-0.47	-0.32	0.49	0.98	2.11
Pa_1_190	0	-0.07	-0.55	-0.86	-0.52	0	0.62	1.71	1.6	1.19
Pa_1_19010	0.03	0.35	-0.03	-0.37	-0.22	-0.1	-0.07	1.02	4.42	3.61
Pa_1_19330	1.09	-0.33	-0.66	-0.12	-0.38	-0.54	0.12	0.45	1.85	1.28
Pa_1_19470	-1.37	-0.72	-0.81	-0.65	-0.43	0.49	1.8	2.33	1.98	0.43
Pa_1_1970	-1.74	-0.55	-0.88	-0.22	-0.19	0.19	0.44	1.29	1.28	1.75
Pa_1_2020	-0.83	-0.54	-0.19	0.19	-0.4	-0.35	0.28	2.36	4.44	3.78
Pa_1_20250	-0.61	-0.16	-0.42	-0.64	-0.17	0.16	0.46	1.51	3.67	3.43
Pa_1_20280	-1.15	-0.64	-0.76	-0.73	-0.42	0.42	2.03	3.38	3.96	1.08
Pa_1_20360	-0.62	-0.02	-0.19	-0.22	-0.15	0.02	0.78	2.48	2.7	1.87
Pa_1_20415	-0.24	-0.07	-0.02	0.11	-0.05	-0.22	0.02	2.79	3.98	3.35
Pa_1_20430	-0.63	-0.48	-0.56	-0.19	0.1	-0.1	1	2.26	2.45	1.59
Pa_1_20510	-0.85	0.05	-0.18	0.36	-0.3	0.4	-0.05	-0.78	1.48	2.74
Pa_1_20825	-0.52	0.02	-0.02	0.34	0.04	-0.32	-0.45	-0.06	3.73	3.25
Pa_1_21425	-1.37	-1.18	-1.11	-0.1	-0.09	0.09	0.68	1.45	3.59	3.54
Pa_1_21780	-0.46	-0.21	-0.32	-0.55	-0.22	0.21	1.28	2.58	3.58	4.14
Pa_1_21790	-1.19	-0.42	-0.67	-0.87	-0.45	0.42	1.86	3.18	4.03	3.73
Pa_1_21800	0.79	-0.79	-1.22	-0.76	-0.34	0.13	-0.13	1.13	1.61	4.05
Pa_1_22170	-0.78	-1.84	-0.94	-0.79	-0.05	0.58	0.93	1	0.62	0.05
Pa_1_22600	-0.4	-0.79	0.07	-0.07	-0.73	-0.52	0.21	2.08	1.94	0.56
Pa_1_22810	-0.4	-0.02	0.02	0.16	-0.33	-0.59	-0.6	1.1	4.11	2.85
Pa_1_23060	-0.39	-0.14	-0.27	-0.54	-0.19	0.14	0.21	1.31	2.62	2.58
Pa_1_23357	0	0.41	0.39	0	-0.55	-0.32	-0.67	-0.35	2.07	2.34
Pa_1_23640	-1.21	-1.58	-1.73	-1.44	-0.57	0.57	1.4	1.65	1.6	1.35
Pa_1_23700	-1.19	0.16	-0.52	-0.07	-0.12	-0.18	0.07	0.51	1.09	2.1
Pa_1_23710	-0.9	-1.28	0.28	-0.28	-0.82	-0.9	0.38	2.23	3.06	1.18
Pa_1_23870	-0.33	-0.35	-0.44	0.11	0.07	-0.14	-0.07	4.45	5.49	4.74
Pa_1_24380	-0.91	-0.39	-0.48	-0.63	-0.39	0.39	1.56	2.42	2.68	0.82
Pa_1_24510	-0.89	0.07	-0.53	0.33	-0.04	-0.26	-0.37	0.04	1.79	2.68
Pa_1_280	-0.03	0.1	0.03	-0.04	-0.27	-0.15	-0.31	0.63	2.49	1.97
Pa_1_2830	-0.47	-0.74	-0.26	-0.53	-0.16	0.41	1.57	2.52	2.54	0.16
Pa_1_2940	-0.01	0.09	-0.06	-0.09	0	0	-0.14	0.27	3.49	5.08
Pa_1_2960	-0.09	-0.17	-0.23	-0.29	-0.28	0.09	0.6	3.11	3.38	3.51
Pa_1_3010	-0.47	0.04	-0.28	0.03	-0.03	-0.09	-0.13	0.26	2.52	2.59
Pa_1_3280	-1.23	-0.96	-1.11	-1	-0.48	0.48	2.07	2.41	2.55	1.65
Pa_1_3360	-0.3	-0.34	-0.38	-0.2	0	0	0.24	1.32	4.57	6.52
Pa_1_3380	-0.4	-0.15	-0.34	-0.31	-0.22	0.15	1.5	3.17	3.91	4.57
Pa_1_4310	-1.83	-1.93	-1.85	-1.7	-0.07	0.07	0.53	1.89	3.2	2.53
Pa_1_4590	-0.19	-1.41	-1.26	-0.53	-0.44	0.19	0.97	0.87	1.42	0.74
Pa_1_4740	-0.52	-0.13	-0.75	-0.77	-0.31	0.13	0.31	1.92	3.77	3.6
Pa_1_4910	0.39	-0.06	0.06	-0.31	-0.45	-0.17	-0.21	0.17	2.28	1.73
Pa_1_5130	-0.56	-0.83	0.3	-0.01	-0.17	-0.34	0.01	0.72	3.86	4.43
Pa_1_5140	0.01	0.52	-0.05	-0.14	-0.01	-0.1	-0.15	0.5	2.07	3.05
Pa_1_5360	0.06	-0.26	-0.2	0.33	-0.06	-0.53	-0.77	0.24	2.33	2.87
Pa_1_5485	-0.29	-0.13	-0.25	-0.07	0.1	0.07	-0.09	0.91	2.2	2.84
Pa_1_5580	-0.39	-0.22	-0.47	-0.25	0.52	-0.1	0.1	1.96	4.39	3.88
Pa_1_5615	-1.67	-1.5	-1.75	-0.39	0.21	0.31	-0.14	0.14	1.76	2.87
Pa_1_5620	-0.5	-0.05	-0.47	-0.54	-0.41	0.05	0.95	2.06	2.16	1.41
Pa_1_5650	-0.91	-0.36	-0.31	-0.23	-0.03	0.03	1.03	2.15	3.18	4.28
Pa_1_5765	-1.79	-0.61	-0.84	-0.62	-0.23	0.23	1.31	2.79	3.21	2.96
Pa_1_5800	-0.6	-0.57	0.4	0.08	-0.31	-0.28	-0.08	0.49	1.37	2.2
Pa_1_5880	-0.53	0	-0.07	-0.08	0	-0.06	0.03	3.98	5.96	5.72
Pa_1_6013	-0.84	0.12	-0.18	-0.07	-0.02	-0.06	0.02	0.78	2.45	1.56
Pa_1_6120	0.45	-0.71	0.05	-0.76	-0.73	-0.49	-0.05	1.55	2.4	2.39
Pa_1_6490	-0.91	-0.44	-0.31	-0.7	-0.31	0.82	2.24	3.27	3.1	0.31
Pa_1_6680	-0.78	-0.14	-0.33	-0.35	0.1	-0.1	0.18	1.44	4.34	3.89
Pa_1_7080	-1.01	-0.99	-1.17	-0.32	-0.18	0.18	0.56	1.49	2.48	1.24
Pa_1_7240	0.12	0.18	-0.12	-0.33	-0.47	-0.42	-0.41	0.41	1.86	2.42
Pa_1_7520	0.07	-0.36	0.02	0.01	-0.32	-0.77	-1.14	-0.01	1.46	1.37
Pa_1_830	-0.84	-0.34	-0.21	-0.23	-0.07	0.07	0.32	1.37	1.86	2.39
Pa_1_8540	-0.47	-0.03	-0.16	-0.26	-0.04	0.03	0.43	1.12	4.76	4.76
Pa_1_8880	-0.59	-0.8	-0.04	-0.46	-0.19	0.04	1.27	2.68	2.23	0.76
Pa_1_8890	-0.96	-0.13	-0.3	-0.5	-0.66	0.13	2.57	4.75	4.75	3.06
Pa_1_910	-0.17	0.04	-0.24	-0.18	-0.63	-0.04	2.77	4.56	4.63	3.31
Pa_1_960	-1.13	-0.78	-1.03	-1.07	-1.19	0.78	2.73	3.78	4.54	4.34
Pa_1_9830	0.15	-0.32	-0.63	-0.52	-0.47	-0.15	0.32	0.73	1.94	1.49
Pa_2_10190	-0.35	-0.26	-1.23	-0.54	0	0	0.24	1.04	2.28	3.14
Pa_2_10330	-0.19	-0.26	0.12	-0.87	-0.27	-0.12	0.28	1.31	3.33	2.96
Pa_2_10750	0.6	-0.18	-0.26	-0.41	-0.03	-0.04	0.03	0.82	2.07	2.62
Pa_2_11120	-0.22	-1.32	-1.03	-0.3	-0.14	0.14	0.66	1.19	0.57	0.71
Pa_2_12060	-0.22	0.05	-0.13	-0.02	0.07	0	-0.11	0	1.28	2.34
Pa_2_13040	-1.33	-1.61	-1.34	-0.35	-0.22	0.22	1.14	2.74	4.19	4.12
