Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_0_1170	0.41	-0.11	-0.23	0.13	0.11	0.57	-0.51	-0.63	-0.95	3.31
Pa_1_1050	-0.67	-0.35	0.17	0.13	0.28	-0.13	-0.26	-0.3	0.44	2.72
Pa_1_11120	-0.23	0.09	0.03	0.15	-0.03	-0.13	-0.06	0.06	-0.06	4.08
Pa_1_11180	-0.29	-0.07	-0.19	-0.17	-0.08	0.07	0.08	0.45	0.95	6.43
Pa_1_11260	0.19	-0.02	0.21	0.02	-0.17	-0.43	-0.94	-0.8	0.04	1.69
Pa_1_11910	0.01	-0.18	0.28	0.1	-0.12	0.33	-0.01	-0.26	-0.22	3.25
Pa_1_1210	-0.29	-0.45	-0.04	0.06	-0.05	-0.16	0.04	0.48	0.74	3.7
Pa_1_1230	0.69	2	-0.06	-0.11	-0.01	0.51	0.01	-0.17	-0.01	3.99
Pa_1_12520	0.13	1.08	-0.51	-0.21	-0.24	0.2	-0.13	-0.77	0.21	1.95
Pa_1_1280	-0.2	0.03	-0.03	0.25	0.03	-0.15	-0.21	-0.14	0.39	3.61
Pa_1_14420	-0.45	0.79	-0.45	-0.27	0.09	0.37	0.02	-0.37	-0.02	3.04
Pa_1_15520	0.27	1.5	0.02	-0.02	-0.36	-0.52	-0.96	-0.58	0.5	3.17
Pa_1_16480	-0.42	0.29	0.12	0.27	0.09	-0.09	-0.76	-0.95	-1.09	5.14
Pa_1_16790	0.21	0.03	0.48	-0.03	-0.19	-0.25	-0.54	-0.19	0.87	3.36
Pa_1_18390	1.04	0.38	0.53	0.02	-0.02	-0.19	-0.47	-0.38	-0.06	4.54
Pa_1_19200	1.87	0.75	0.25	-0.41	-0.32	-0.47	-0.89	-0.25	0.59	3.46
Pa_1_19310	-0.17	0.2	-0.15	0	0.08	0	-0.24	0.19	-0.14	2.89
Pa_1_19410	-0.15	0.32	0.06	-0.03	-0.08	-0.25	-0.15	0.03	0.23	2.43
Pa_1_200	-0.28	0.01	0.05	0.17	-0.13	-0.16	-0.28	-0.01	0.02	2.67
Pa_1_21080	0.02	0.18	0.12	0.01	-0.02	-0.01	-0.24	-0.2	-0.48	2.51
Pa_1_22120	0.48	1.69	-0.73	-0.09	-0.13	0.09	-0.37	-0.11	1.71	4.11
Pa_1_22185	-0.24	0.09	-0.09	-0.15	0.31	0.09	-0.11	-0.28	0.25	5.56
Pa_1_22350	-0.14	-0.14	-0.16	-0.13	0.06	0.11	-0.06	0.11	0.8	6.35
Pa_1_23743	-0.42	0.7	0.26	0.19	-0.19	-0.41	-0.48	-0.39	0.49	2.09
Pa_1_24540	0.17	0.92	-0.25	0.07	-0.07	-0.09	-0.2	-0.1	0.87	3.27
Pa_1_2490	-0.42	0.33	0.51	0.53	0.74	-0.33	-1.27	-1.27	-0.52	2.32
Pa_1_2740	-0.43	-0.06	-0.18	-0.25	-0.23	0.06	0.23	0.79	0.8	3.44
Pa_1_4340	0.54	-0.19	0.8	0.05	-0.05	-0.4	-0.27	-0.23	0.55	2.48
Pa_1_5010	0.08	0.07	-0.01	0.01	-0.04	0.07	-0.16	-0.24	-0.15	5.95
Pa_1_5150	-0.52	0.25	0.1	-0.28	0.7	0.13	-0.1	-0.28	-0.16	2.4
Pa_1_5450	-0.51	0.87	0.27	0.22	0.14	-0.23	-0.59	-0.65	-0.14	2.02
Pa_1_5970	-0.53	-0.45	-0.58	-0.21	0	0.24	0.21	0.41	0	5.49
Pa_1_630	0.05	-0.02	-0.23	-0.55	-0.04	0.01	-0.01	0.43	0.92	3.74
Pa_1_6810	0.29	0.42	0.14	-0.14	-0.25	-0.45	-0.44	-0.45	0.73	3.01
Pa_1_6850	-0.07	0.34	-0.21	0.07	0.13	0.12	-0.34	-0.51	-0.09	2.26
Pa_1_8080	-0.36	0.16	-0.08	-0.36	-0.21	0.39	0.08	-0.28	0.13	2.34
Pa_1_8915	-0.18	0.02	-0.02	0.41	0.43	0.26	-0.24	-0.24	-0.03	3.19
Pa_2_10120	-0.06	0.17	-0.24	-0.02	-0.05	-0.13	0.02	0.57	0.99	3.52
Pa_2_10710	-0.48	0.22	0.26	0.11	0.11	-0.37	-0.47	-0.54	-0.11	2.73
Pa_2_13270	-0.04	0.62	0.5	0.09	-0.03	0.03	-0.32	-0.48	-0.75	4.52
Pa_2_13710	-0.34	-0.11	0.08	0.03	0.15	0.13	-0.03	-0.29	-0.38	5.75
Pa_2_13795	-0.03	0.58	0.29	-0.09	0.05	-0.11	-0.41	-0.39	0.03	3.51
Pa_2_14060	-0.03	0.5	-0.31	-0.38	0.09	0.16	-0.1	0.03	-0.56	4.07
Pa_2_1650	-0.37	-0.49	-0.11	0.54	0.27	-0.02	0.02	-0.02	1.7	4.98
Pa_2_180	-0.15	-0.11	-0.14	-0.05	0.08	0.07	0.03	-0.03	0.04	3.82
Pa_2_2610	-0.39	-0.11	0.11	-0.48	0.62	0.48	0.2	-0.32	-0.59	3.71
Pa_2_2920	-0.2	-0.36	-0.48	-0.29	0.25	-0.06	0.46	0.26	0.06	3.9
Pa_2_4070	-0.1	-0.16	-0.16	-0.33	0.1	0.29	0.29	0.19	-0.12	2.65
Pa_2_4425	-0.24	-0.06	-0.26	0.15	0.55	0.53	0.06	-0.16	-0.22	3.23
Pa_2_4680	0.13	0.52	0.15	-0.17	-0.11	-0.35	-0.39	-0.42	0.11	2.55
Pa_2_5890	-0.33	-0.16	-0.65	-0.34	0.28	-0.16	0.42	0.71	0.16	2.85
Pa_2_6020	0.48	0.03	0.39	-0.67	-0.89	-0.53	-0.61	-0.03	0.68	3
Pa_2_6340	0.16	-0.16	-0.17	0.14	0.2	-0.04	-0.09	0.04	-0.06	4.62
Pa_2_6484	-0.8	0.4	0.58	0.2	-0.2	-0.51	-0.71	-0.62	0.36	2.54
Pa_2_8095	0.16	-0.11	0.05	-0.12	0.03	-0.03	-0.28	-0.39	0.53	2.86
Pa_2_8800	0.72	1.18	0.37	0.14	-0.24	-0.14	-0.49	-0.59	-0.27	2.66
Pa_2_8890	-1.11	0.01	-0.03	-0.01	0.02	-0.18	-0.35	0.23	0.54	6.14
Pa_2_8910	-0.95	0.07	-0.07	0.14	0.1	0.09	-0.87	-0.88	-0.71	2.07
Pa_2_9840	0.01	0.56	-0.7	-0.15	-0.01	0.12	-0.22	-0.95	0.15	2.28
Pa_3_10245	-0.16	0.05	-0.05	0.07	0.11	0.24	-0.08	-0.1	-0.17	3.82
Pa_3_10920	-0.05	0.11	-0.07	-0.12	0.07	0.06	-0.15	-0.18	0.05	3.36
Pa_3_11160	0.64	0.36	0.11	-0.21	-0.36	-0.11	-0.48	-0.23	0.57	2.11
Pa_3_11510	0.06	1.14	0.01	-0.23	0.01	-0.01	-0.45	-0.41	-0.4	2.42
Pa_3_1436	-0.19	0.36	0.01	-0.07	-0.01	0.14	-0.15	-0.2	0.08	3.52
Pa_3_145	0.2	-0.51	-0.57	-0.37	-0.28	0.21	0.49	-0.2	0.52	2.34
Pa_3_1490	0.55	0.7	-0.16	0.02	-0.33	-0.17	-0.02	-0.66	0.2	1.88
Pa_3_1910	-0.11	0	-0.11	-0.09	0	0.06	0.06	0.16	-0.02	5.18
Pa_3_1920	-0.95	-0.37	0.24	1.23	0.17	-0.8	-1.05	-0.17	0.27	5.23
Pa_3_2080	0.72	0.99	0.05	-0.25	-0.05	0.08	-0.27	-0.29	-0.25	3.03
Pa_3_2210	0.98	0.71	0.29	0.12	-0.31	-0.31	-0.3	-0.12	-0.15	2.23
Pa_3_2840	-0.15	-0.41	-0.41	-0.09	0.1	0.51	0.83	0.09	-0.11	2.69
Pa_3_3165	-0.25	0.23	0.04	0.04	0	0	-0.29	-0.33	-0.37	4.06
Pa_3_360	-0.01	0.22	0.02	0.01	-0.01	0.13	-0.14	-0.1	-0.15	4.27
Pa_3_5140	-0.31	-0.02	-0.04	0.45	0.13	0.02	-0.19	-0.23	1	5.74
Pa_3_5305	-0.26	-0.11	-0.08	-0.38	-0.19	0.18	0.18	0.08	0.81	5.68
Pa_3_6160	-0.41	-0.21	-0.17	0.07	0.07	-0.07	0.27	0.25	-0.17	2.86
Pa_3_7775	0.08	0.98	0.7	0.02	-0.02	-0.43	-0.89	-0.91	-0.13	2.75
Pa_3_7780	0.07	0.93	0.49	0.08	-0.07	-0.34	-0.63	-0.87	-0.32	1.98
Pa_3_7850	-0.29	-0.2	-0.17	0.01	-0.01	0.08	0.11	0.08	-0.04	6.88
Pa_3_9655	-0.19	-0.05	-0.02	-0.04	0.02	0.02	-0.11	0.11	0.64	6.47
Pa_3_9950	0.31	1.2	-0.55	-0.09	-0.25	0.09	-0.26	-0.42	1.09	2.72
Pa_4_105	-0.42	-0.34	-0.37	-0.21	-0.01	0.01	0.01	0.27	0.3	3.43
Pa_4_1060	1.05	1.45	0.36	-0.07	-0.04	-0.22	-0.48	-0.3	0.04	3.79
Pa_4_1110	0.07	0.39	0.03	-0.37	-0.03	-0.13	-0.54	-0.62	0.36	2.51
Pa_4_140	0.24	0.96	0.57	-0.07	-0.66	-0.76	-1.34	-0.7	0.07	4.05
Pa_4_215	-0.04	-0.01	-0.07	0.03	0.18	0.23	0.01	-0.02	-0.06	6.61
Pa_4_2250	-0.07	0.67	-1.03	-1.54	-0.66	0.34	0.48	0.07	-0.59	1.21
Pa_4_2270	-0.2	0.03	-0.01	0.01	0.07	0.11	-0.13	-0.14	-0.19	5.18
Pa_4_2885	0.47	1.1	-0.15	-0.1	0.07	0.11	-0.07	-0.2	-0.62	4.93
Pa_4_3100	-0.08	-0.29	0.08	0.6	0.33	-0.26	-0.21	-0.36	0.55	2.48
Pa_4_3310	0.24	0.38	-0.05	-0.15	-0.47	-0.31	-0.33	0.05	0.68	3.34
Pa_4_3640	-0.2	-0.01	-0.39	-0.16	0.26	0.32	0.09	0.01	-0.15	3.26
Pa_4_420	0.34	0.76	0.01	0.07	-0.14	-0.01	-0.14	-0.14	-0.07	4.83
Pa_4_4200	-0.02	0.81	0.81	0.32	0.01	-0.01	-0.43	-0.8	-0.88	3.27
Pa_4_4270	-0.08	0.12	-0.14	-0.11	0.08	0.22	-0.17	-0.31	0.18	4.84
Pa_4_5070	0.38	-0.11	-0.08	-0.26	0.02	-0.02	0.22	-0.14	0.99	3.4
Pa_4_5250	-0.23	0.1	-0.09	0.06	0	0.02	-0.08	-0.27	0	3.72
Pa_4_5300	-0.12	0.08	-0.21	0.01	0.02	0.09	-0.11	-0.06	-0.01	5.32
Pa_4_5310	-0.27	-0.34	-0.18	-0.25	-0.01	0.12	0.01	0.5	1.32	5.98
Pa_4_5320	-0.44	0.02	-0.61	0.09	-0.02	-0.05	-0.11	0.62	0.72	3.64
Pa_4_5325	-0.98	0.3	0.77	0.74	0.14	-0.14	-0.84	-1.23	-1.31	3.63
Pa_4_5330	-0.3	0.54	1.08	0.68	0.15	-0.15	-1.19	-1.66	-1.06	3.35
Pa_4_5570	0.31	-0.19	-0.4	-0.23	-0.18	0.07	0.41	-0.03	0.03	3.67
