Name	Ncluster	Vawe
Acyl	ON	4
alpha_orf	sans	NA
atp6	sans	NA
atp8	sans	NA
cob	sans	NA
cox1	sans	NA
cox2	sans	NA
cox3	sans	NA
cytb	sans	NA
FMR1	P	4
nad1	sans	NA
nad2	sans	NA
nad3	sans	NA
nad4	sans	NA
nad4L	sans	NA
nad5	sans	NA
nad6	sans	NA
Pa_0_10	sans	NA
Pa_0_100	sans	NA
Pa_0_1000	sans	NA
Pa_0_1010	sans	NA
Pa_0_1020	sans	NA
Pa_0_1030	sans	NA
Pa_0_1040	sans	NA
Pa_0_1050	sans	NA
Pa_0_1060	sans	NA
Pa_0_1070	sans	NA
Pa_0_1080	sans	NA
Pa_0_1090	sans	NA
Pa_0_110	sans	NA
Pa_0_1100	sans	NA
Pa_0_1110	sans	NA
Pa_0_1120	sans	NA
Pa_0_1130	BDEF	2
Pa_0_1140	sans	NA
Pa_0_1150	sans	NA
Pa_0_1160	sans	NA
Pa_0_1170	IL	5
Pa_0_1180	sans	NA
Pa_0_1190	BDEF	2
Pa_0_120	sans	NA
Pa_0_1200	sans	NA
Pa_0_1210	sans	NA
Pa_0_1220	sans	NA
Pa_0_1230	sans	NA
Pa_0_1240	BDEF	2
Pa_0_1250	sans	NA
Pa_0_1260	sans	NA
Pa_0_1270	BDEF	2
Pa_0_1280	sans	NA
Pa_0_1290	sans	NA
Pa_0_130	sans	NA
Pa_0_1300	sans	NA
Pa_0_1310	sans	NA
Pa_0_1320	sans	NA
Pa_0_1330	sans	NA
Pa_0_1335	sans	NA
Pa_0_1340	sans	NA
Pa_0_1350	sans	NA
Pa_0_1360	sans	NA
Pa_0_1370	sans	NA
Pa_0_1380	sans	NA
Pa_0_1390	sans	NA
Pa_0_140	sans	NA
Pa_0_1400	sans	NA
Pa_0_1410	K	2
Pa_0_1420	ON	4
Pa_0_1430	sans	NA
Pa_0_1440	sans	NA
Pa_0_1450	sans	NA
Pa_0_1460	sans	NA
Pa_0_1470	P	4
Pa_0_1480	sans	NA
Pa_0_150	BDEF	2
Pa_0_1500	sans	NA
Pa_0_1510	sans	NA
Pa_0_1520	ON	4
Pa_0_1530	sans	NA
Pa_0_1540	sans	NA
Pa_0_1550	sans	NA
Pa_0_1560	sans	NA
Pa_0_1570	sans	NA
Pa_0_1580	sans	NA
Pa_0_160	AC	1
Pa_0_1600	sans	NA
Pa_0_1610	sans	NA
Pa_0_1620	sans	NA
Pa_0_1630	P	4
Pa_0_1640	GH	2
Pa_0_170	sans	NA
Pa_0_180	sans	NA
Pa_0_190	sans	NA
Pa_0_20	M	3
Pa_0_200	sans	NA
Pa_0_210	AC	1
Pa_0_220	AC	1
Pa_0_230	sans	NA
Pa_0_240	sans	NA
Pa_0_25	sans	NA
Pa_0_250	sans	NA
Pa_0_260	sans	NA
Pa_0_270	sans	NA
Pa_0_280	sans	NA
Pa_0_290	sans	NA
Pa_0_30	ON	4
Pa_0_300	sans	NA
Pa_0_310	sans	NA
Pa_0_320	sans	NA
Pa_0_330	sans	NA
Pa_0_340	sans	NA
Pa_0_350	sans	NA
Pa_0_360	sans	NA
Pa_0_370	AC	1
Pa_0_390	sans	NA
Pa_0_40	sans	NA
Pa_0_400	sans	NA
Pa_0_410	sans	NA
Pa_0_420	sans	NA
Pa_0_430	P	4
Pa_0_440	sans	NA
Pa_0_450	sans	NA
Pa_0_460	sans	NA
Pa_0_470	sans	NA
Pa_0_480	sans	NA
Pa_0_490	sans	NA
Pa_0_495	sans	NA
Pa_0_50	sans	NA
Pa_0_500	sans	NA
Pa_0_510	sans	NA
Pa_0_530	sans	NA
Pa_0_540	sans	NA
Pa_0_550	sans	NA
Pa_0_560	sans	NA
Pa_0_570	sans	NA
Pa_0_580	sans	NA
Pa_0_590	sans	NA
Pa_0_60	sans	NA
Pa_0_600	sans	NA
Pa_0_610	BDEF	2
Pa_0_620	sans	NA
Pa_0_630	sans	NA
Pa_0_640	sans	NA
Pa_0_650	sans	NA
Pa_0_660	sans	NA
Pa_0_670	sans	NA
Pa_0_680	sans	NA
Pa_0_690	sans	NA
Pa_0_70	sans	NA
Pa_0_700	sans	NA
Pa_0_710	sans	NA
Pa_0_715	sans	NA
Pa_0_720	sans	NA
Pa_0_730	sans	NA
Pa_0_740	sans	NA
Pa_0_750	sans	NA
Pa_0_760	AC	1
Pa_0_770	sans	NA
Pa_0_780	BDEF	2
Pa_0_785	sans	NA
Pa_0_790	sans	NA
Pa_0_80	sans	NA
Pa_0_800	ON	4
Pa_0_810	sans	NA
Pa_0_820	sans	NA
Pa_0_830	sans	NA
Pa_0_840	sans	NA
Pa_0_850	QTU	4
Pa_0_860	sans	NA
Pa_0_870	sans	NA
Pa_0_880	sans	NA
Pa_0_890	sans	NA
Pa_0_90	R	3
Pa_0_900	sans	NA
Pa_0_910	sans	NA
Pa_0_920	sans	NA
Pa_0_930	sans	NA
Pa_0_940	sans	NA
Pa_0_950	sans	NA
Pa_0_960	sans	NA
Pa_0_970	sans	NA
Pa_0_980	sans	NA
Pa_0_990	sans	NA
Pa_1_10	sans	NA
Pa_1_100	sans	NA
Pa_1_1000	sans	NA
Pa_1_10000	sans	NA
Pa_1_10010	sans	NA
Pa_1_10020	sans	NA
Pa_1_10030	sans	NA
Pa_1_10040	sans	NA
Pa_1_10050	sans	NA
Pa_1_10060	sans	NA
Pa_1_10070	sans	NA
Pa_1_10080	M	3
Pa_1_10090	sans	NA
Pa_1_1010	sans	NA
Pa_1_10100	sans	NA
Pa_1_10110	sans	NA
Pa_1_10120	sans	NA
Pa_1_10130	M	3
Pa_1_10140	M	3
Pa_1_10150	M	3
Pa_1_10160	AC	1
Pa_1_10170	P	4
Pa_1_10180	sans	NA
Pa_1_10190	sans	NA
Pa_1_10200	sans	NA
Pa_1_10210	sans	NA
Pa_1_10220	sans	NA
Pa_1_10230	sans	NA
Pa_1_10240	sans	NA
Pa_1_10250	sans	NA
Pa_1_10260	sans	NA
Pa_1_10270	sans	NA
Pa_1_10280	sans	NA
Pa_1_10290	sans	NA
Pa_1_1030	sans	NA
Pa_1_10300	sans	NA
Pa_1_10310	sans	NA
Pa_1_10320	sans	NA
Pa_1_10330	sans	NA
Pa_1_10340	sans	NA
Pa_1_10350	QTU	4
Pa_1_10360	sans	NA
Pa_1_10370	sans	NA
Pa_1_10380	sans	NA
Pa_1_10390	sans	NA
Pa_1_1040	sans	NA
Pa_1_10400	sans	NA
Pa_1_10410	sans	NA
Pa_1_10420	sans	NA
Pa_1_10430	sans	NA
Pa_1_10440	sans	NA
Pa_1_1045	sans	NA
Pa_1_10450	sans	NA
Pa_1_10460	sans	NA
Pa_1_10470	P	4
Pa_1_10480	sans	NA
Pa_1_1050	IL	5
Pa_1_10510	sans	NA
Pa_1_10520	sans	NA
Pa_1_10530	sans	NA
Pa_1_10540	sans	NA
Pa_1_10550	sans	NA
Pa_1_10560	sans	NA
Pa_1_10570	sans	NA
Pa_1_10580	sans	NA
Pa_1_10590	sans	NA
Pa_1_1060	ON	4
Pa_1_10600	sans	NA
Pa_1_10610	sans	NA
Pa_1_10620	sans	NA
Pa_1_10625	sans	NA
Pa_1_10630	sans	NA
Pa_1_10640	GH	2
Pa_1_10650	sans	NA
Pa_1_10660	sans	NA
Pa_1_10670	sans	NA
Pa_1_10680	sans	NA
Pa_1_10690	sans	NA
Pa_1_1070	sans	NA
Pa_1_10700	sans	NA
Pa_1_10710	sans	NA
Pa_1_10720	sans	NA
Pa_1_10730	sans	NA
Pa_1_10740	sans	NA
Pa_1_10750	sans	NA
Pa_1_10760	sans	NA
Pa_1_10770	sans	NA
Pa_1_10775	sans	NA
Pa_1_10780	sans	NA
Pa_1_10790	sans	NA
Pa_1_1080	sans	NA
Pa_1_10800	sans	NA
Pa_1_10810	sans	NA
Pa_1_10820	sans	NA
Pa_1_10830	sans	NA
Pa_1_10840	sans	NA
Pa_1_10850	sans	NA
Pa_1_10860	sans	NA
Pa_1_10870	sans	NA
Pa_1_10880	sans	NA
Pa_1_10890	sans	NA
Pa_1_1090	sans	NA
Pa_1_10900	sans	NA
Pa_1_10910	sans	NA
Pa_1_10920	sans	NA
Pa_1_10930	sans	NA
Pa_1_10940	sans	NA
Pa_1_10950	sans	NA
Pa_1_10960	sans	NA
Pa_1_10970	sans	NA
Pa_1_10980	sans	NA
Pa_1_10990	sans	NA
Pa_1_110	AC	1
Pa_1_1100	sans	NA
Pa_1_11000	sans	NA
Pa_1_11010	sans	NA
Pa_1_11020	sans	NA
Pa_1_11030	sans	NA
Pa_1_11040	sans	NA
Pa_1_11050	sans	NA
Pa_1_11060	sans	NA
Pa_1_11070	sans	NA
Pa_1_11080	sans	NA
Pa_1_11090	sans	NA
Pa_1_1110	sans	NA
Pa_1_11100	sans	NA
Pa_1_11110	sans	NA
Pa_1_11120	IL	5
Pa_1_11130	sans	NA
Pa_1_11140	sans	NA
Pa_1_11150	sans	NA
Pa_1_11160	sans	NA
Pa_1_11170	sans	NA
Pa_1_11175	sans	NA
Pa_1_11180	IL	5
Pa_1_11190	sans	NA
Pa_1_1120	sans	NA
Pa_1_11200	sans	NA
Pa_1_11210	sans	NA
Pa_1_11220	sans	NA
Pa_1_11230	sans	NA
Pa_1_11240	sans	NA
Pa_1_1125	sans	NA
Pa_1_11250	sans	NA
Pa_1_11260	IL	5
Pa_1_11270	sans	NA
Pa_1_11280	sans	NA
Pa_1_11290	sans	NA
Pa_1_1130	sans	NA
Pa_1_11300	sans	NA
Pa_1_11310	sans	NA
Pa_1_11320	sans	NA
Pa_1_11325	sans	NA
