GENE	Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Acyl	-0.59	0.11	-0.14	0.29	0.26	-0.15	-0.11	-0.44	1.98	3.3
FMR1	-0.39	-0.01	-0.31	-0.1	-0.32	0.01	0.91	1.57	1.91	1.69
Pa_0_1130	1.38	0.18	0.33	0.91	0.83	-0.18	-0.46	-0.9	-1.4	-0.62
Pa_0_1170	0.41	-0.11	-0.23	0.13	0.11	0.57	-0.51	-0.63	-0.95	3.31
Pa_0_1190	3.09	1.25	0.95	0.04	0.11	-0.04	-1.06	-2.09	-1.93	-1.49
Pa_0_1240	1.61	2.01	1.41	0.58	-0.17	0.17	-0.65	-0.95	-1.46	-1.72
Pa_0_1270	0.75	1.97	1.76	0.71	0.07	-0.07	-1.22	-2.23	-2.21	-1.48
Pa_0_1410	-0.25	0.25	1.23	0.91	0.62	0.52	-0.44	-1.23	-1.62	-0.33
Pa_0_1420	-0.21	-0.48	-0.4	-0.34	0.19	0	0	0.93	2.46	3.57
Pa_0_1470	-0.3	-0.26	-0.29	-0.08	0.08	-0.13	0.61	1.95	3.73	3.92
Pa_0_150	1.57	1.39	0.9	0.25	0.11	-0.11	-0.29	-0.31	-0.99	-1.31
Pa_0_1520	0.82	-0.35	-0.22	-0.09	0.08	-0.08	0.1	-0.19	1.4	2.41
Pa_0_160	2.14	1.6	0.84	0.01	-0.01	-0.02	-0.61	-0.79	-0.43	0.58
Pa_0_1630	-0.01	-0.04	-0.4	-0.52	0.01	-0.13	0.7	1.8	2.12	2.67
Pa_0_1640	0.45	0.69	0.7	0.28	0.03	-0.03	-0.15	-0.64	-1.03	-2.04
Pa_0_20	-0.42	-1.16	-0.21	0.54	0.21	0.67	0.88	0.44	-0.31	-1.97
Pa_0_210	2.75	1.68	1.59	0.23	-0.23	-0.33	-0.94	-1.58	-0.95	0.7
Pa_0_220	1.64	0.86	0.8	0.07	-0.39	-0.07	-0.62	-0.9	-0.66	0.97
Pa_0_30	-0.35	-0.1	-0.19	-0.22	0.02	0.03	-0.02	0.52	2.7	2.12
Pa_0_370	1.88	0.66	-0.03	0.59	-0.04	0.22	-0.1	-0.7	-0.77	0.03
Pa_0_430	-0.05	-0.27	-0.26	-0.34	-0.07	0.05	0.66	2.15	3.34	3.04
Pa_0_610	2.26	0.6	0.64	0.48	0.12	-0.12	-0.75	-1.08	-0.8	-0.79
Pa_0_760	3.26	1.73	1.07	0.3	-0.02	-0.29	-0.26	0.02	-0.07	-0.78
Pa_0_780	2.5	1.13	1.04	0.35	0.19	-0.19	-0.79	-1.94	-2.31	-2.07
Pa_0_800	-0.2	-0.46	0.71	0	-0.07	-0.22	0	0.99	1.4	2.87
Pa_0_850	-0.53	-0.18	-0.6	-0.98	-0.57	0.18	1.36	2.09	2.16	0.77
Pa_0_90	-1.32	-0.31	-0.13	1.44	1.68	0.98	0.09	-0.09	-0.31	0.64
Pa_1_10080	0.05	-0.8	-0.71	-0.17	0.23	0.66	1.19	0.86	-0.05	-1.9
Pa_1_10130	0.12	-0.99	-0.38	-0.33	0.19	1.23	1.15	0.87	-0.12	-2.08
Pa_1_10140	-0.14	-0.27	-0.24	0.07	0.16	0.32	0.83	0.75	-0.07	-1.73
Pa_1_10150	-0.05	-0.44	-0.11	0.05	0.16	0.5	0.83	0.74	-0.06	-1.83
Pa_1_10160	2.13	1.83	-0.16	-0.43	-0.17	-0.55	-0.64	0.16	0.85	1.15
Pa_1_10170	-0.7	-0.52	-0.38	-0.5	0.04	-0.04	0.5	1.57	2.86	2.51
Pa_1_10350	-0.81	-0.81	-1.21	-0.69	-0.2	0.2	1.71	2.06	1.25	0.41
Pa_1_10470	-0.45	-0.36	-0.69	0.11	-0.03	-0.02	0.02	0.95	1.72	1.97
Pa_1_1050	-0.67	-0.35	0.17	0.13	0.28	-0.13	-0.26	-0.3	0.44	2.72
Pa_1_1060	0	0.08	-0.02	0.07	0	-0.24	-0.14	-0.1	1.47	2.34
Pa_1_10640	0.89	-0.37	0.37	0.61	0.49	0.38	-0.48	-1.15	-1.66	-2.43
Pa_1_110	4.24	2.58	0.85	0.13	-0.11	-0.41	-1.03	-1.71	-1.07	0.11
Pa_1_11120	-0.23	0.09	0.03	0.15	-0.03	-0.13	-0.06	0.06	-0.06	4.08
Pa_1_11180	-0.29	-0.07	-0.19	-0.17	-0.08	0.07	0.08	0.45	0.95	6.43
Pa_1_11260	0.19	-0.02	0.21	0.02	-0.17	-0.43	-0.94	-0.8	0.04	1.69
Pa_1_11330	-0.71	-0.43	-0.28	-0.42	-0.29	0.28	1.05	2.65	4.04	4.13
Pa_1_1150	-1.93	-0.8	-0.87	-0.71	-0.3	0.3	1.36	2.09	1.52	2.1
Pa_1_11560	3.48	1.51	0.45	-0.37	0.11	0.14	-0.11	-1.14	-0.26	-0.28
Pa_1_1180	-1.06	-1.69	-1.41	-1.08	-0.28	0.28	1.06	1.97	2.53	1.04
Pa_1_11865	-0.43	-0.4	-0.74	-0.43	0.19	0.51	1.55	1.95	2.03	-0.19
Pa_1_11910	0.01	-0.18	0.28	0.1	-0.12	0.33	-0.01	-0.26	-0.22	3.25
Pa_1_1210	-0.29	-0.45	-0.04	0.06	-0.05	-0.16	0.04	0.48	0.74	3.7
Pa_1_12180	-0.29	-0.08	-0.15	-0.41	-0.13	0.08	0.09	1.9	3.74	3.12
Pa_1_12190	-0.16	-0.13	-0.26	0.18	-0.06	-0.2	0.06	1.72	3.36	2.85
Pa_1_12220	-0.99	-0.17	2.92	1.3	0.08	-0.17	-0.18	0.14	-0.08	1.79
Pa_1_1230	0.69	2	-0.06	-0.11	-0.01	0.51	0.01	-0.17	-0.01	3.99
Pa_1_12350	0.32	0.87	0.51	0.16	0.33	-0.16	-0.2	-0.47	-1.19	-2.09
Pa_1_12450	-0.19	0.46	0.49	0.91	0.68	0.19	-0.62	-1.01	-1.69	-1.97
Pa_1_12520	0.13	1.08	-0.51	-0.21	-0.24	0.2	-0.13	-0.77	0.21	1.95
Pa_1_12530	-2.11	-0.65	-0.88	-1.37	-0.27	0.27	1.24	1.55	1.88	1
Pa_1_1270	4.66	3.55	1.83	0.3	0.09	-0.09	-0.7	-1.79	-1.39	-1.01
Pa_1_1280	-0.2	0.03	-0.03	0.25	0.03	-0.15	-0.21	-0.14	0.39	3.61
Pa_1_12900	0.14	0.25	0.72	1.23	0.3	-0.14	-0.81	-1.26	-1.38	-1.41
Pa_1_13000	-1.1	-0.42	-0.67	-0.64	-0.19	0.19	1.44	2.09	3.21	1.75
Pa_1_13230	1.49	1.9	3.52	2.22	0.49	-0.49	-1.71	-2.74	-3.03	-2.98
Pa_1_13940	0.68	1.22	1.64	0.98	0.21	-0.21	-0.98	-1.33	-1.21	-1.63
Pa_1_14000	-2.3	-2.83	3.09	3.92	3.38	1.76	0.15	-0.69	-0.15	-0.66
Pa_1_1440	0.9	1.05	1.87	1.1	0.24	-0.24	-1.15	-1.63	-1.05	-1.59
Pa_1_14420	-0.45	0.79	-0.45	-0.27	0.09	0.37	0.02	-0.37	-0.02	3.04
Pa_1_145	-0.93	-0.46	-0.79	-0.78	0.12	-0.12	0.2	1.04	1.97	2.63
Pa_1_14595	-1.32	-1.47	-1.16	-0.11	-0.16	0.11	1.28	3.04	4.57	3.74
Pa_1_14650	-1.42	0.57	0.06	0.25	0.28	-0.01	0.01	-0.27	-0.76	-2.65
Pa_1_14690	4.36	2.74	1.35	0.12	-0.04	0.04	-0.45	-0.74	-0.8	-0.72
Pa_1_14750	0.14	-0.19	-0.58	-0.46	-0.43	-0.14	0.38	0.49	1.85	2.36
Pa_1_14880	-0.83	-1.12	1.39	0.52	-0.14	-0.14	0.14	0.14	0.34	-0.7
Pa_1_15070	-0.74	0.4	-0.69	-0.95	-0.61	-0.19	0.19	1.65	2.83	2.33
Pa_1_15140	-1.05	0.05	-0.43	0.07	0.36	-0.05	-0.1	-0.66	1.02	2.13
Pa_1_15200	-1.07	-0.32	-0.33	-0.53	-0.14	0.14	1.65	2.92	3.1	2.66
Pa_1_15290	0.16	0.27	0.21	-0.08	0.08	0.08	-0.67	-1.45	-2.17	-3.18
Pa_1_15460	0.15	-0.12	-0.22	-0.36	-0.23	0.03	-0.03	1.38	5.96	5.45
Pa_1_15495	-0.76	0.13	5.41	3.83	2.68	1.41	-0.13	-0.76	-0.75	-0.2
Pa_1_15520	0.27	1.5	0.02	-0.02	-0.36	-0.52	-0.96	-0.58	0.5	3.17
Pa_1_15610	-0.51	-1.13	-1.02	1.5	1.58	1.05	0.36	0.24	-0.67	-0.24
Pa_1_15760	0.06	0.34	-0.06	-0.34	-0.43	-0.55	-0.68	0.81	5.05	4.64
Pa_1_15770	0.09	-0.09	-0.61	-0.39	-0.31	-0.68	0.28	1.78	1.86	1.08
Pa_1_15850	0	-0.48	-0.44	-0.49	-0.13	0	0.14	0.79	2.47	3.81
Pa_1_15970	-0.31	-0.23	-0.29	-0.3	-0.15	0.15	0.52	1.92	3.33	5.23
Pa_1_15980	-1.21	-0.83	-1.24	-1.47	-0.91	0.83	2.76	2.69	2.35	2.13
Pa_1_16240	1.7	2.35	1.49	0.49	-0.08	0.08	-0.76	-1.14	-1.51	-1.82
Pa_1_16360	2.33	1.07	0.74	0.1	-0.1	-0.22	-0.49	-0.64	-0.11	0.23
Pa_1_16380	0.01	0.89	0.56	0.05	-0.01	0.01	-0.64	-0.51	-0.81	-1.79
Pa_1_16480	-0.42	0.29	0.12	0.27	0.09	-0.09	-0.76	-0.95	-1.09	5.14
Pa_1_16510	1.25	-0.14	0.69	0.51	0.3	0.14	-0.82	-1.37	-1.84	-2.51
Pa_1_16520	1.94	1.31	0.98	0.79	0.21	-0.21	-1.06	-0.9	-0.53	-0.62
Pa_1_16525	-1.72	-1.37	-1.53	-1.41	-0.09	0.09	0.77	2.18	3.67	2.88
Pa_1_16570	-0.2	-0.02	-0.11	-0.22	0.28	0.02	-0.12	0.6	4.5	4.04
Pa_1_16640	-0.05	0.03	-0.41	-0.44	-0.32	-0.03	0.53	1.17	2.22	1.73
Pa_1_16700	0.07	0.38	0.67	-0.07	-0.46	-0.59	-0.83	-0.13	2.94	2.59
Pa_1_16705	-0.74	1.55	5.36	4.6	2.58	0.74	-0.8	-2.52	-3.33	-4.28
Pa_1_16790	0.21	0.03	0.48	-0.03	-0.19	-0.25	-0.54	-0.19	0.87	3.36
Pa_1_16920	-0.38	-0.82	-0.74	-0.24	0.24	0.64	1.45	1.22	0.26	-1.19
Pa_1_17065	-1.88	0.17	-0.22	-0.4	-0.43	-0.07	0.07	0.48	1.18	1.15
Pa_1_17250	-0.07	0.07	0.93	1	0.99	0.56	-0.48	-2.37	-2.28	-1.66
Pa_1_17550	1.34	0.38	0.65	0.2	0.35	-0.2	-0.45	-0.88	-1.34	-1.22
Pa_1_17730	-1.18	-1	1.44	0.79	-0.19	-0.15	0.15	0.93	0.48	-0.46
Pa_1_17920	-1.48	-1.03	-1.22	-0.48	0.25	-0.15	0.15	0.71	2.63	4.26
Pa_1_17947	0.03	0.5	1	1.18	0.44	-0.03	-0.93	-2.32	-3.15	-2.94
Pa_1_17950	-0.17	0.29	0.55	1.49	1.05	0.17	-0.97	-1.89	-1.98	-1.69
Pa_1_18000	1.75	1.13	1.2	0.46	0	0	-0.62	-1.06	-1.06	-1.36
Pa_1_18060	1.03	1.44	0.51	0.14	0.24	-0.14	-0.76	-1.42	-1.82	-2.2
Pa_1_18160	-0.77	0.1	-0.1	0.12	-0.26	-0.47	-0.32	0.49	0.98	2.11
Pa_1_18270	0.67	0.53	0.54	0	0.24	0	-0.54	-0.96	-1.25	-1.9
Pa_1_18370	3.61	2.34	1.43	-0.09	0.09	-0.14	-0.56	-0.49	-0.34	0.3
Pa_1_18390	1.04	0.38	0.53	0.02	-0.02	-0.19	-0.47	-0.38	-0.06	4.54
Pa_1_1840	-0.29	0.67	1.91	2.18	0.99	0.29	-0.88	-1.12	-1.05	-1.39
