Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_0_160	2.14	1.6	0.84	0.01	-0.01	-0.02	-0.61	-0.79	-0.43	0.58
Pa_0_210	2.75	1.68	1.59	0.23	-0.23	-0.33	-0.94	-1.58	-0.95	0.7
Pa_0_220	1.64	0.86	0.8	0.07	-0.39	-0.07	-0.62	-0.9	-0.66	0.97
Pa_0_370	1.88	0.66	-0.03	0.59	-0.04	0.22	-0.1	-0.7	-0.77	0.03
Pa_0_760	3.26	1.73	1.07	0.3	-0.02	-0.29	-0.26	0.02	-0.07	-0.78
Pa_1_10160	2.13	1.83	-0.16	-0.43	-0.17	-0.55	-0.64	0.16	0.85	1.15
Pa_1_110	4.24	2.58	0.85	0.13	-0.11	-0.41	-1.03	-1.71	-1.07	0.11
Pa_1_11560	3.48	1.51	0.45	-0.37	0.11	0.14	-0.11	-1.14	-0.26	-0.28
Pa_1_14690	4.36	2.74	1.35	0.12	-0.04	0.04	-0.45	-0.74	-0.8	-0.72
Pa_1_16360	2.33	1.07	0.74	0.1	-0.1	-0.22	-0.49	-0.64	-0.11	0.23
Pa_1_18370	3.61	2.34	1.43	-0.09	0.09	-0.14	-0.56	-0.49	-0.34	0.3
Pa_1_18978	2.33	1.29	0.18	-0.1	0.09	-0.02	0.02	-0.2	-0.31	-0.47
Pa_1_19750	3.57	1.39	1.3	-0.22	-0.12	0.08	-0.25	-0.02	0.02	-0.53
Pa_1_21950	3.63	2.17	0.57	-0.71	-0.85	-0.57	-1.18	-1.5	0.95	3.14
Pa_1_21960	1.92	1.48	0.31	-0.31	-0.74	-0.71	-1.26	-1.66	0.33	0.49
Pa_1_24450	2.67	1.95	0.34	-0.23	-0.71	-0.14	0.14	0.29	-0.49	-1.06
Pa_1_24480	1.46	0.48	0.04	-0.04	0.03	-0.06	-0.03	-1.1	-0.31	0.5
Pa_1_3150	2.63	1.06	0.15	-0.62	-0.58	-0.51	-0.21	-0.15	0.56	0.23
Pa_1_350	6.93	4	2.9	-0.45	-0.67	-0.03	0.05	0.03	-0.54	-0.73
Pa_1_5230	1.58	0.93	0.73	0.11	-0.12	-0.11	-1.06	-1.34	-0.36	0.29
Pa_1_5240	2.57	1.46	1.07	0.11	-0.01	0.01	-0.57	-0.64	-0.37	-0.09
Pa_1_5490	2.72	1.26	0.68	0.16	0.1	-0.1	-0.49	-0.49	-0.49	-0.15
Pa_1_5740	3.87	1.34	-0.15	-0.66	-1.26	-0.95	-0.71	0.15	0.86	0.49
Pa_2_13560	3.36	1.81	0.67	-0.11	0.11	0.23	-0.4	-0.84	-0.8	-0.82
Pa_2_14150	2.68	1.46	0.63	-0.43	-0.43	-0.36	-0.63	-0.64	0.36	1.32
Pa_2_1800	2.05	1.01	0.52	0.21	0.02	-0.11	-0.62	-1.03	-0.69	-0.02
Pa_2_2100	2.85	1.72	1.26	-0.3	0.14	-0.14	-0.77	-1.03	-0.5	0.35
Pa_2_4795	3.2	0.36	0.32	-0.43	-0.32	-0.69	-0.51	-0.55	0.42	0.54
Pa_2_6360	2.39	1.27	0.71	0.23	0.03	-0.1	-0.68	-0.82	-0.1	-0.03
Pa_2_7870	3.07	1.46	1.04	-0.09	-0.12	0.09	-0.29	-0.1	0.19	-0.2
Pa_2_7880	2.74	1.57	1.02	-0.05	0.05	0.22	-0.21	-0.21	-0.19	-0.22
Pa_3_10370	3.57	1.96	1.16	0.03	-0.04	-0.3	-0.37	-0.48	-0.03	0.81
Pa_3_10420	2.23	0.05	0.26	-0.3	-0.43	0.52	-0.05	-1.44	-1.31	0.15
Pa_3_1070	2.97	0.7	0.06	-0.06	0.24	0.08	-0.26	-0.75	-0.76	-0.29
Pa_3_11090	1.76	0.68	0.26	-0.26	-0.43	-0.5	-0.9	-0.69	0.57	1.12
Pa_3_11480	3.97	2.15	0.87	0.03	0.15	-0.03	-0.31	-0.76	-0.41	-0.2
Pa_3_1330	3.1	0.75	0.53	0	0.06	0	-0.42	-0.62	-0.6	-0.13
Pa_3_2920	6.36	3.62	1.39	-0.05	-0.08	0.03	-0.19	-0.24	-0.03	0.3
Pa_3_5560	2.04	0.9	0.28	-0.28	-0.31	-0.41	-0.71	-0.7	1.04	0.71
Pa_3_6050	2.09	1.15	0.64	0.11	-0.11	-0.27	-0.59	-1.14	-1.21	0.92
Pa_3_780	5.16	3.46	1.78	-0.04	-0.06	0.22	-0.31	-0.94	-0.63	0.04
Pa_3_8420	6.4	4.16	2.62	0.05	-0.12	-0.03	-0.37	-0.61	-0.55	0.03
Pa_3_890	5.12	2.54	1.76	0.01	-0.2	0.12	-0.24	-0.01	-0.12	-0.64
Pa_3_9870	1.56	0.86	0.66	0.04	-0.33	-0.62	-1.07	-1.57	-0.04	0.23
Pa_4_1090	2.7	0.8	-0.17	-0.84	-0.2	0.15	-0.15	-0.38	0.38	1.49
Pa_4_1100	3.41	2.03	0.91	-0.56	-0.39	-0.39	-0.47	-0.26	0.26	1.23
Pa_4_2260	1.54	2.13	0.11	-0.18	-0.11	0.41	-0.24	-0.28	-0.46	1.05
Pa_4_3780	4.83	3.24	2.45	0.02	0.12	-0.02	-0.4	-0.57	-0.38	-0.37
Pa_4_3810	2.65	1.31	0.75	-1.16	-1.24	-1.25	-1.37	-0.75	1.15	1.24
Pa_4_3820	6.33	4.32	3.49	0.04	-0.34	-0.14	-0.58	-0.64	-0.04	0.27
