Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_0_1130	1.38	0.18	0.33	0.91	0.83	-0.18	-0.46	-0.9	-1.4	-0.62
Pa_0_1190	3.09	1.25	0.95	0.04	0.11	-0.04	-1.06	-2.09	-1.93	-1.49
Pa_0_1240	1.61	2.01	1.41	0.58	-0.17	0.17	-0.65	-0.95	-1.46	-1.72
Pa_0_1270	0.75	1.97	1.76	0.71	0.07	-0.07	-1.22	-2.23	-2.21	-1.48
Pa_0_1410	-0.25	0.25	1.23	0.91	0.62	0.52	-0.44	-1.23	-1.62	-0.33
Pa_0_150	1.57	1.39	0.9	0.25	0.11	-0.11	-0.29	-0.31	-0.99	-1.31
Pa_0_1640	0.45	0.69	0.7	0.28	0.03	-0.03	-0.15	-0.64	-1.03	-2.04
Pa_0_610	2.26	0.6	0.64	0.48	0.12	-0.12	-0.75	-1.08	-0.8	-0.79
Pa_0_780	2.5	1.13	1.04	0.35	0.19	-0.19	-0.79	-1.94	-2.31	-2.07
Pa_1_10640	0.89	-0.37	0.37	0.61	0.49	0.38	-0.48	-1.15	-1.66	-2.43
Pa_1_12350	0.32	0.87	0.51	0.16	0.33	-0.16	-0.2	-0.47	-1.19	-2.09
Pa_1_12450	-0.19	0.46	0.49	0.91	0.68	0.19	-0.62	-1.01	-1.69	-1.97
Pa_1_1270	4.66	3.55	1.83	0.3	0.09	-0.09	-0.7	-1.79	-1.39	-1.01
Pa_1_12900	0.14	0.25	0.72	1.23	0.3	-0.14	-0.81	-1.26	-1.38	-1.41
Pa_1_13230	1.49	1.9	3.52	2.22	0.49	-0.49	-1.71	-2.74	-3.03	-2.98
Pa_1_13940	0.68	1.22	1.64	0.98	0.21	-0.21	-0.98	-1.33	-1.21	-1.63
Pa_1_1440	0.9	1.05	1.87	1.1	0.24	-0.24	-1.15	-1.63	-1.05	-1.59
Pa_1_14650	-1.42	0.57	0.06	0.25	0.28	-0.01	0.01	-0.27	-0.76	-2.65
Pa_1_15290	0.16	0.27	0.21	-0.08	0.08	0.08	-0.67	-1.45	-2.17	-3.18
Pa_1_16240	1.7	2.35	1.49	0.49	-0.08	0.08	-0.76	-1.14	-1.51	-1.82
Pa_1_16380	0.01	0.89	0.56	0.05	-0.01	0.01	-0.64	-0.51	-0.81	-1.79
Pa_1_16510	1.25	-0.14	0.69	0.51	0.3	0.14	-0.82	-1.37	-1.84	-2.51
Pa_1_16520	1.94	1.31	0.98	0.79	0.21	-0.21	-1.06	-0.9	-0.53	-0.62
Pa_1_16705	-0.74	1.55	5.36	4.6	2.58	0.74	-0.8	-2.52	-3.33	-4.28
Pa_1_17250	-0.07	0.07	0.93	1	0.99	0.56	-0.48	-2.37	-2.28	-1.66
Pa_1_17550	1.34	0.38	0.65	0.2	0.35	-0.2	-0.45	-0.88	-1.34	-1.22
Pa_1_17947	0.03	0.5	1	1.18	0.44	-0.03	-0.93	-2.32	-3.15	-2.94
Pa_1_17950	-0.17	0.29	0.55	1.49	1.05	0.17	-0.97	-1.89	-1.98	-1.69
Pa_1_18000	1.75	1.13	1.2	0.46	0	0	-0.62	-1.06	-1.06	-1.36
Pa_1_18060	1.03	1.44	0.51	0.14	0.24	-0.14	-0.76	-1.42	-1.82	-2.2
Pa_1_18270	0.67	0.53	0.54	0	0.24	0	-0.54	-0.96	-1.25	-1.9
Pa_1_1840	-0.29	0.67	1.91	2.18	0.99	0.29	-0.88	-1.12	-1.05	-1.39
Pa_1_18485	0	0.03	1.18	0.59	0	0.09	-0.12	-1.04	-0.88	-1.37
Pa_1_18820	2.44	1.24	0.91	0.23	0.02	-0.02	-0.25	-0.53	-0.53	-0.74
Pa_1_18870	0.36	0.47	0.37	0.14	-0.01	0.01	-0.9	-1.85	-2.3	-0.63
Pa_1_2045	0.11	1.13	0.66	0.45	0.19	-0.11	-0.15	-0.54	-1.23	-2.01
Pa_1_20460	0.85	1.3	0.87	0.28	-0.1	0.1	-0.25	-0.65	-0.98	-1.44
Pa_1_20640	0	0.5	0.26	0.03	0.11	0	-0.17	-0.96	-1.85	-2.12
Pa_1_21010	0.12	0.06	0.28	0.28	0.11	-0.07	-0.06	-0.24	-0.98	-2.35
Pa_1_21440	2.56	1.07	0.53	0.09	-0.16	-0.09	0.21	-0.87	-1.26	-1.35
