Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Pa_0_20	-0.42	-1.16	-0.21	0.54	0.21	0.67	0.88	0.44	-0.31	-1.97
Pa_0_90	-1.32	-0.31	-0.13	1.44	1.68	0.98	0.09	-0.09	-0.31	0.64
Pa_1_10080	0.05	-0.8	-0.71	-0.17	0.23	0.66	1.19	0.86	-0.05	-1.9
Pa_1_10130	0.12	-0.99	-0.38	-0.33	0.19	1.23	1.15	0.87	-0.12	-2.08
Pa_1_10140	-0.14	-0.27	-0.24	0.07	0.16	0.32	0.83	0.75	-0.07	-1.73
Pa_1_10150	-0.05	-0.44	-0.11	0.05	0.16	0.5	0.83	0.74	-0.06	-1.83
Pa_1_12220	-0.99	-0.17	2.92	1.3	0.08	-0.17	-0.18	0.14	-0.08	1.79
Pa_1_14000	-2.3	-2.83	3.09	3.92	3.38	1.76	0.15	-0.69	-0.15	-0.66
Pa_1_14880	-0.83	-1.12	1.39	0.52	-0.14	-0.14	0.14	0.14	0.34	-0.7
Pa_1_15495	-0.76	0.13	5.41	3.83	2.68	1.41	-0.13	-0.76	-0.75	-0.2
Pa_1_15610	-0.51	-1.13	-1.02	1.5	1.58	1.05	0.36	0.24	-0.67	-0.24
Pa_1_16920	-0.38	-0.82	-0.74	-0.24	0.24	0.64	1.45	1.22	0.26	-1.19
Pa_1_17730	-1.18	-1	1.44	0.79	-0.19	-0.15	0.15	0.93	0.48	-0.46
Pa_1_18730	0	-0.64	-0.58	-0.23	0	0.79	1.36	1.12	0.35	-1.76
Pa_1_21170	-0.93	-1.31	1.31	1.5	0.18	-0.68	-0.61	-0.09	0.76	0.09
Pa_1_21410	-0.43	-0.07	3.82	4.01	2.22	0.48	-0.41	-0.72	-0.4	0.07
Pa_1_21710	-0.99	-0.89	0.91	2.16	1.75	0.39	-0.05	0.05	-0.34	-0.67
Pa_1_295	-1.11	-0.72	2.97	1.53	0.57	0.19	-0.19	-0.44	-0.23	0.33
Pa_1_3810	-0.83	-1.12	-0.38	1.44	1.15	0.34	0.13	-0.06	0.06	-0.25
Pa_1_440	-1.52	-1.3	0.52	0	-0.29	0	0.88	0.99	0.09	-2.18
Pa_1_4560	-1.04	-1.85	1.3	2.96	2.21	0.89	0.11	-0.11	-0.2	-0.47
Pa_1_5023	-0.96	-0.33	6.12	4.64	3.42	1.99	0.33	-0.97	-1.22	-1.58
Pa_1_8287	-1.02	-0.73	6.72	5.57	3.59	2.1	0.62	-0.62	-1.24	-1.14
Pa_1_9780	-0.81	-0.72	1.87	1.9	1.36	0.52	0.23	-0.23	-0.89	-0.66
Pa_1_9890	-0.38	-0.98	-0.8	-0.02	0.23	0.93	1.66	1.16	0.02	-1.36
Pa_2_14040	-1.8	-1.88	1.92	1.09	-0.03	-0.42	0.03	-0.1	0.14	0.21
Pa_2_14190	-1.41	-1.34	4.39	5.76	4.47	2.28	0.42	-0.52	-0.7	-0.42
Pa_2_1590	0.08	-0.64	-0.16	-0.08	0.4	0.8	1.14	0.8	-0.19	-1.61
Pa_2_4380	-0.7	-0.55	0.54	2.6	1.75	0.73	-0.21	-0.92	-0.47	0.21
Pa_2_4770	-0.86	-0.71	2.28	3.4	2.64	1.52	0.29	-0.29	-0.52	-0.71
Pa_2_5080	-0.7	-0.32	1.92	1.34	0.09	-0.2	-0.09	-0.5	0.6	1.66
Pa_2_7090	-0.4	-0.26	-0.18	-0.48	0.32	0.54	0.85	0.77	0.18	-2.23
Pa_2_7500	0.05	-0.05	1.94	0.5	-0.09	-0.51	-0.62	-0.23	0.68	0.82
