GO_ID	LEVEL	NAME
GO:0000001	8	mitochondrion inheritance
GO:0000002	7	mitochondrial genome maintenance
GO:0000003	2	reproduction
GO:0000006	10	high-affinity zinc transmembrane transporter activity
GO:0000007	10	low-affinity zinc ion transmembrane transporter activity
GO:0000009	7	alpha-1,6-mannosyltransferase activity
GO:0000010	5	trans-hexaprenyltranstransferase activity
GO:0000011	7	vacuole inheritance
GO:0000012	9	single strand break repair
GO:0000014	8	single-stranded DNA endodeoxyribonuclease activity
GO:0000015	4	phosphopyruvate hydratase complex
GO:0000016	6	lactase activity
GO:0000017	9	alpha-glucoside transport
GO:0000018	8	regulation of DNA recombination
GO:0000019	9	regulation of mitotic recombination
GO:0000022	5	mitotic spindle elongation
GO:0000023	7	maltose metabolic process
GO:0000024	8	maltose biosynthetic process
GO:0000025	8	maltose catabolic process
GO:0000026	7	alpha-1,2-mannosyltransferase activity
GO:0000027	9	ribosomal large subunit assembly
GO:0000028	9	ribosomal small subunit assembly
GO:0000030	6	mannosyltransferase activity
GO:0000031	4	mannosylphosphate transferase activity
GO:0000032	10	cell wall mannoprotein biosynthetic process
GO:0000033	7	alpha-1,3-mannosyltransferase activity
GO:0000034	6	adenine deaminase activity
GO:0000035	3	acyl binding
GO:0000036	5	acyl carrier activity
GO:0000038	9	very long-chain fatty acid metabolic process
GO:0000041	8	transition metal ion transport
GO:0000045	8	autophagosome assembly
GO:0000048	6	peptidyltransferase activity
GO:0000049	6	tRNA binding
GO:0000050	7	urea cycle
GO:0000052	9	citrulline metabolic process
GO:0000053	9	argininosuccinate metabolic process
GO:0000054	12	ribosomal subunit export from nucleus
GO:0000055	12	ribosomal large subunit export from nucleus
GO:0000056	12	ribosomal small subunit export from nucleus
GO:0000062	10	fatty-acyl-CoA binding
GO:0000064	10	L-ornithine transmembrane transporter activity
GO:0000070	8	mitotic sister chromatid segregation
GO:0000073	5	initial mitotic spindle pole body separation
GO:0000075	7	cell cycle checkpoint
GO:0000076	9	DNA replication checkpoint
GO:0000077	9	DNA damage checkpoint
GO:0000079	12	regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000080	5	mitotic G1 phase
GO:0000082	6	G1/S transition of mitotic cell cycle
GO:0000083	11	regulation of transcription involved in G1/S transition of mitotic cell cycle
GO:0000084	5	mitotic S phase
GO:0000085	5	mitotic G2 phase
GO:0000086	6	G2/M transition of mitotic cell cycle
GO:0000087	5	mitotic M phase
GO:0000088	5	mitotic prophase
GO:0000089	5	mitotic metaphase
GO:0000090	5	mitotic anaphase
GO:0000091	6	mitotic anaphase A
GO:0000092	6	mitotic anaphase B
GO:0000093	5	mitotic telophase
GO:0000095	5	S-adenosyl-L-methionine transmembrane transporter activity
GO:0000096	8	sulfur amino acid metabolic process
GO:0000097	9	sulfur amino acid biosynthetic process
GO:0000098	9	sulfur amino acid catabolic process
GO:0000099	9	sulfur amino acid transmembrane transporter activity
GO:0000100	5	S-methylmethionine transmembrane transporter activity
GO:0000101	10	sulfur amino acid transport
GO:0000102	12	L-methionine secondary active transmembrane transporter activity
GO:0000103	5	sulfate assimilation
GO:0000104	5	succinate dehydrogenase activity
GO:0000105	10	histidine biosynthetic process
GO:0000107	6	imidazoleglycerol-phosphate synthase activity
GO:0000109	4	nucleotide-excision repair complex
GO:0000110	5	nucleotide-excision repair factor 1 complex
GO:0000111	5	nucleotide-excision repair factor 2 complex
GO:0000112	5	nucleotide-excision repair factor 3 complex
GO:0000113	5	nucleotide-excision repair factor 4 complex
GO:0000117	11	regulation of transcription involved in G2/M transition of mitotic cell cycle
GO:0000118	4	histone deacetylase complex
GO:0000120	4	RNA polymerase I transcription regulator complex
GO:0000121	7	glycerol-1-phosphatase activity
GO:0000122	12	negative regulation of transcription by RNA polymerase II
GO:0000123	7	histone acetyltransferase complex
GO:0000124	9	SAGA complex
GO:0000125	9	PCAF complex
GO:0000126	5	transcription factor TFIIIB complex
GO:0000127	5	transcription factor TFIIIC complex
GO:0000128	6	flocculation
GO:0000131	3	incipient cellular bud site
GO:0000132	10	establishment of mitotic spindle orientation
GO:0000133	3	polarisome
