gene_id	go_id	GO_LEVEL	METAGO_L2	METAGO_L3	METAGO_L4	METAGO_L5
Pa_0_10	GO:0005777	7	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_0_10	GO:0006996	5	GO:0009987	GO:0071840	GO:0016043	GO:0006996
Pa_0_10	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_0_1000	GO:0005575	1	GO:0005575	GO:0005575	GO:0005575	GO:0005575
Pa_0_1000	GO:0006766	4	GO:0008152	GO:0044281	GO:0006766	GO:0006766
Pa_0_1000	GO:0016787	3	GO:0003824	GO:0016787	GO:0016787	GO:0016787
Pa_0_1010	GO:0005515	3	GO:0005488	GO:0005515	GO:0005515	GO:0005515
Pa_0_1010	GO:0005634	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_0_1010	GO:0006351	10	GO:0008152|GO:0009987	GO:0009058|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0044249|GO:1901576|GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0009059|GO:0019438|GO:0018130|GO:0044271|GO:1901362|GO:0006139|GO:0044260
Pa_0_1020	GO:0003676	4	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003676
Pa_0_1020	GO:0003735	3	GO:0005198	GO:0003735	GO:0003735	GO:0003735
Pa_0_1020	GO:0005840	6	GO:0110165	GO:0043226	GO:0043228|GO:0043229	GO:0043232
Pa_0_1020	GO:0006412	8	GO:0008152|GO:0009987	GO:0009058|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0044249|GO:1901576|GO:0034641|GO:0043170|GO:1901564	GO:0043603|GO:0009059|GO:1901566|GO:0044271|GO:0019538|GO:0044260
Pa_0_1030	GO:0005198	2	GO:0005198	GO:0005198	GO:0005198	GO:0005198
Pa_0_1030	GO:0005840	6	GO:0110165	GO:0043226	GO:0043228|GO:0043229	GO:0043232
Pa_0_1030	GO:0006412	8	GO:0008152|GO:0009987	GO:0009058|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0044249|GO:1901576|GO:0034641|GO:0043170|GO:1901564	GO:0043603|GO:0009059|GO:1901566|GO:0044271|GO:0019538|GO:0044260
Pa_0_1030	GO:0006464	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0043170|GO:1901564	GO:0043412|GO:0019538|GO:0044260
Pa_0_1030	GO:0050789	3	GO:0065007	GO:0050789	GO:0050789	GO:0050789
Pa_0_1050	GO:0006464	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0043170|GO:1901564	GO:0043412|GO:0019538|GO:0044260
Pa_0_1050	GO:0007165	5	GO:0009987|GO:0065007	GO:0050789	GO:0050794	GO:0007165
Pa_0_1050	GO:0030234	3	GO:0098772	GO:0030234	GO:0030234	GO:0030234
Pa_0_1060	GO:0005215	2	GO:0005215	GO:0005215	GO:0005215	GO:0005215
Pa_0_1060	GO:0006810	4	GO:0051179	GO:0051234	GO:0006810	GO:0006810
Pa_0_1060	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_0_1070	GO:0003700	3	GO:0140110	GO:0003700	GO:0003700	GO:0003700
Pa_0_1070	GO:0005634	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_0_1070	GO:0006351	10	GO:0008152|GO:0009987	GO:0009058|GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0044249|GO:1901576|GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0009059|GO:0019438|GO:0018130|GO:0044271|GO:1901362|GO:0006139|GO:0044260
Pa_0_1080	GO:0005575	1	GO:0005575	GO:0005575	GO:0005575	GO:0005575
Pa_0_1080	GO:0005975	4	GO:0008152	GO:0044238|GO:0071704	GO:0005975	GO:0005975
Pa_0_1080	GO:0016491	3	GO:0003824	GO:0016491	GO:0016491	GO:0016491
Pa_0_1090	GO:0016491	3	GO:0003824	GO:0016491	GO:0016491	GO:0016491
Pa_0_110	GO:0016787	3	GO:0003824	GO:0016787	GO:0016787	GO:0016787
Pa_0_1100	GO:0003723	5	GO:0005488	GO:1901363|GO:0097159	GO:0003676	GO:0003723
Pa_0_1100	GO:0005618	4	GO:0110165	GO:0030312	GO:0005618	GO:0005618
Pa_0_1100	GO:0005739	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_0_1100	GO:0005829	3	GO:0110165	GO:0005829	GO:0005829	GO:0005829
Pa_0_1100	GO:0005975	4	GO:0008152	GO:0044238|GO:0071704	GO:0005975	GO:0005975
Pa_0_1100	GO:0006810	4	GO:0051179	GO:0051234	GO:0006810	GO:0006810
Pa_0_1100	GO:0016491	3	GO:0003824	GO:0016491	GO:0016491	GO:0016491
Pa_0_1110	GO:0016491	3	GO:0003824	GO:0016491	GO:0016491	GO:0016491
Pa_0_1120	GO:0016491	3	GO:0003824	GO:0016491	GO:0016491	GO:0016491
Pa_0_1120	GO:0042221	3	GO:0050896	GO:0042221	GO:0042221	GO:0042221
Pa_0_1130	GO:0016491	3	GO:0003824	GO:0016491	GO:0016491	GO:0016491
Pa_0_1130	GO:0042221	3	GO:0050896	GO:0042221	GO:0042221	GO:0042221
Pa_0_1140	GO:0016491	3	GO:0003824	GO:0016491	GO:0016491	GO:0016491
Pa_0_1150	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_0_1160	GO:0003674	1	GO:0003674	GO:0003674	GO:0003674	GO:0003674
Pa_0_1170	GO:0006464	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0043170|GO:1901564	GO:0043412|GO:0019538|GO:0044260
Pa_0_1190	GO:0016740	3	GO:0003824	GO:0016740	GO:0016740	GO:0016740
Pa_0_1190	GO:0016829	3	GO:0003824	GO:0016829	GO:0016829	GO:0016829
Pa_0_120	GO:0003674	1	GO:0003674	GO:0003674	GO:0003674	GO:0003674
Pa_0_120	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_0_1210	GO:0016020	3	GO:0110165	GO:0016020	GO:0016020	GO:0016020
Pa_0_1210	GO:0016192	5	GO:0051179|GO:0009987	GO:0051234	GO:0006810	GO:0016192
Pa_0_1220	GO:0003674	1	GO:0003674	GO:0003674	GO:0003674	GO:0003674
Pa_0_1220	GO:0016070	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0046483|GO:0034641|GO:0006725|GO:0043170|GO:1901360	GO:0006139
Pa_0_1220	GO:0050789	3	GO:0065007	GO:0050789	GO:0050789	GO:0050789
