TF	target	Cor	Wave	tf_name	tf_description	target_name	target_description
Pa_1_300	Pa_1_12450	0.977444349764848	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_300	Pa_1_17947	0.969728991253702	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_300	Pa_1_3110	0.97267386946328	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_300	Pa_2_11310	0.955020391632109	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_300	Pa_2_2160	0.965816040741371	II	-	Putative_protein_of_unknown_function	-	Putative_lipase
Pa_1_300	Pa_3_10020	0.963195049506609	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_300	Pa_3_1060	0.973808300550485	II	-	Putative_protein_of_unknown_function	-	Putative_GMC_oxidoreductase
Pa_1_300	Pa_3_490	0.968059003720518	II	-	Putative_protein_of_unknown_function	-	Putative_sulfate_transporter
Pa_1_300	Pa_3_7370	0.975423646565538	II	-	Putative_protein_of_unknown_function	-	Putative_Zinc_metalloprotease
Pa_1_300	Pa_3_970	0.953604393614117	II	-	Putative_protein_of_unknown_function	-	Putative_Protein_FMP52,_mitochondrial_precursor
Pa_1_300	Pa_4_3960	0.950391317111666	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_300	Pa_4_8300	0.984111016264746	II	-	Putative_protein_of_unknown_function	-	Putative_mitochondrial_chaperone_BCS1_
Pa_1_300	Pa_5_12020	0.964137851292939	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_300	Pa_5_3290	0.975809341271655	II	-	Putative_protein_of_unknown_function	-	Putative_Glycoside_Hydrolase_Family_18
Pa_1_300	Pa_5_4580	0.957455703858498	II	-	Putative_protein_of_unknown_function	-	Putative_pyruvate_decarboxylase_isozyme_3
Pa_1_300	Pa_7_10380	0.958239971155423	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_300	Pa_7_10740	0.952171774785616	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_300	Pa_7_1960	0.966122313132696	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_2070	Pa_0_1240	0.952431924823164	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_2070	Pa_1_21890	0.965258720051583	II	-	Putative_protein_of_unknown_function	-	Putative_calpain
Pa_1_2070	Pa_1_22510	0.963736346024339	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_2070	Pa_1_4860	0.966678550021775	II	-	Putative_protein_of_unknown_function	-	Putative_transporter_
Pa_1_2070	Pa_2_4180	0.971892030673941	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_2070	Pa_2_7260	0.954224498601577	II	-	Putative_protein_of_unknown_function	-	Putative_Cytochrome_P450_protein
Pa_1_2070	Pa_2_7320	0.958912791866022	II	-	Putative_protein_of_unknown_function	-	Putative_sterigmatocystin_biosynthesis_lipase/esterase
Pa_1_2070	Pa_2_7360	0.963458736560772	II	-	Putative_protein_of_unknown_function	-	Putative_sterigmatocystin_biosynthesis_regulatory_protein
Pa_1_2070	Pa_3_2940	0.96504793435824	II	-	Putative_protein_of_unknown_function	-	Putative_Carboxypeptidase
Pa_1_2070	Pa_4_290	0.964494509269773	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_2070	Pa_4_5870	0.955547576347129	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_2070	Pa_4_9940	0.972038194687252	II	-	Putative_protein_of_unknown_function	-	Putative_ABC_transporter_
Pa_1_2070	Pa_5_10090	0.958149930547325	II	-	Putative_protein_of_unknown_function	-	Putative_tyrosinase
Pa_1_2070	Pa_5_10410	0.9676491741784	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_2070	Pa_5_11080	0.953917329291576	II	-	Putative_protein_of_unknown_function	-	Putative_voltage-gated_shaker-like_K+_channel
Pa_1_2070	Pa_5_150	0.950265997657735	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_2070	Pa_5_4167	0.956002800783541	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_2070	Pa_6_9240	0.952114730483744	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_2070	Pa_6_9460	0.9677881161915	II	-	Putative_protein_of_unknown_function	-	Putative_flavoprotein_involved_in_K+_transport
Pa_1_2070	Pa_7_4330	0.963708126498683	II	-	Putative_protein_of_unknown_function	-	Putative_dehydrogenase_
Pa_1_2070	Pa_7_70	0.967891839323516	II	-	Putative_protein_of_unknown_function	-	Putative_1-phosphatidylinositol-4,5-bisphosphate_phosphodiesterase_1
Pa_1_2070	Pa_7_860	0.960050269274184	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_2070	Pa_7_870	0.954749564389306	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_3130	Pa_1_15290	0.97637957273024	II	-	Putative_protein_of_unknown_function	-	NA
