Tm24_Anova_bis_med	T0_Anova_bis_med	T6_Anova_bis_med	T12_Anova_bis_med	T18_Anova_bis_med	T24_Anova_bis_med	T30_Anova_bis_med	T42_Anova_bis_med	T54_Anova_bis_med	T96_Anova_bis_med
Acyl	-0.59	0.11	-0.14	0.29	0.26	-0.15	-0.11	-0.44	1.98	3.3
alpha_orf	-0.04	0.04	0.13	0.24	-0.05	0.56	-0.3	-0.39	-0.68	0.45
atp6	0.58	0.02	-0.02	0.03	-0.51	0.63	-0.52	-0.41	-0.52	0.07
atp8	0.24	0	0	-0.15	-0.4	0.43	-0.31	-0.13	0.08	0.7
cob	0.05	-0.04	0.11	0.04	-0.33	0.54	-0.69	-0.9	-0.76	0.36
cox1	0.15	-0.25	-0.15	-0.39	-0.34	0.25	-0.15	0.23	0.33	1.38
cox2	0.7	0.04	-0.23	-0.48	-0.53	-0.04	-0.11	0.92	1.21	1.93
cox3	0.01	-0.25	-0.37	-0.51	-0.59	0.34	-0.01	0.1	0.25	0.79
cytb	-0.02	0.5	0.21	-0.03	0.02	0.28	-0.26	0.4	-0.19	-0.11
FMR1	-0.39	-0.01	-0.31	-0.1	-0.32	0.01	0.91	1.57	1.91	1.69
nad1	-0.06	-0.17	-0.36	-0.51	-0.42	0.06	0.18	0.73	0.89	2.26
nad2	0.11	-0.29	-0.43	-0.35	-0.11	0.57	-0.12	0.22	0.31	1.43
nad3	0.09	-0.28	-0.51	-0.35	-0.17	0.47	-0.09	0.09	0.12	1.3
nad4	-0.03	-0.52	-0.77	-0.72	-0.71	0.21	0.03	0.43	0.39	0.91
nad4L	0.72	-0.15	0.33	0.15	-0.19	0.95	-0.19	-0.27	-0.17	0.99
nad5	0.04	-0.12	-0.14	-0.26	-0.28	0.32	-0.04	0.15	0.15	0.88
nad6	0.16	0.06	0.11	-0.1	-0.62	0.8	-0.34	-0.32	-0.06	1.24
Pa_0_10	-0.12	-0.59	0.11	0.35	0.22	0.46	0.44	-0.11	-0.75	-1.32
Pa_0_100	-0.46	-0.24	-0.28	0.05	-0.13	-0.05	0.15	0.82	0.84	0.85
Pa_0_1000	0.46	0.14	0.03	-0.02	0.02	-0.11	0.07	-0.15	-0.48	-0.27
Pa_0_1010	0.08	0.23	-0.07	-0.15	-0.12	-0.27	0.04	0.21	0.07	-0.04
Pa_0_1020	0.16	0.01	-0.06	-0.19	-0.31	-0.32	0.04	0.22	0.22	-0.01
Pa_0_1030	0.43	-0.09	-0.15	-0.33	-0.44	-0.06	0.06	0.17	0.09	0.59
Pa_0_1040	0.05	-0.43	-0.24	-0.41	-0.11	-0.05	0.38	0.61	0.45	0.06
Pa_0_1050	-0.17	0.16	0.23	0.28	0.14	-0.17	0.01	-0.01	-0.16	-0.15
Pa_0_1060	-0.3	0.15	-0.29	-0.43	-0.43	-0.15	0.19	0.57	0.78	0.16
Pa_0_1070	0.03	0.59	0.18	-0.24	-0.31	-0.03	-0.2	0.15	0.07	-0.25
Pa_0_1080	-0.23	0.29	0.23	-0.51	-1.18	-0.5	-0.3	0.55	0.51	0.97
Pa_0_1090	-0.11	0.61	0.32	0.09	-0.09	-0.11	-0.14	0.09	-0.18	0.53
Pa_0_110	-1.01	-0.43	-0.07	-0.3	0.07	-0.19	0.22	0.6	0.29	0.5
Pa_0_1100	0.83	0.86	0.75	0.12	-0.12	-0.31	-0.62	-0.89	-0.67	1.57
Pa_0_1110	0.67	1	0.75	0.15	-0.15	-0.37	-0.89	-0.96	-0.7	1.82
Pa_0_1120	1.42	1.15	0.99	0.04	-0.3	-0.6	-1.13	-1.29	-0.04	1.65
Pa_0_1130	1.38	0.18	0.33	0.91	0.83	-0.18	-0.46	-0.9	-1.4	-0.62
Pa_0_1140	0.03	0.55	0.32	0.05	-0.03	-0.03	-0.31	-0.62	-0.08	0.46
Pa_0_1150	0.31	-0.32	-0.53	-0.32	-0.34	0.14	0.47	0.74	0.4	-0.14
Pa_0_1160	1.04	-0.02	0.02	-0.28	-0.11	-0.04	0.28	0.44	0.08	-0.99
Pa_0_1170	0.41	-0.11	-0.23	0.13	0.11	0.57	-0.51	-0.63	-0.95	3.31
Pa_0_1180	-0.62	-0.44	-0.92	-0.45	0.05	0.04	-0.04	0.76	1.21	0.42
Pa_0_1190	3.09	1.25	0.95	0.04	0.11	-0.04	-1.06	-2.09	-1.93	-1.49
Pa_0_120	-0.42	0.3	0.34	0.32	0.06	0.14	-0.06	-0.48	-0.8	-1.4
Pa_0_1200	0.46	0.42	0.04	-0.17	-0.29	-0.09	-0.13	0	0.02	0
Pa_0_1210	0.08	-0.12	-0.03	-0.07	-0.04	0.12	0.27	0.25	0.03	-0.03
Pa_0_1220	0.02	0.07	0.11	0.17	-0.13	-0.02	-0.21	-0.25	-0.13	0.03
Pa_0_1230	0.19	0.34	0.27	0.45	0.15	-0.15	-0.42	-0.78	-1.33	-1.69
Pa_0_1240	1.61	2.01	1.41	0.58	-0.17	0.17	-0.65	-0.95	-1.46	-1.72
Pa_0_1250	0.1	0.14	0.04	0.03	-0.03	0.12	-0.13	-0.04	-0.07	-0.03
Pa_0_1260	-0.19	0.08	-0.12	0.04	0.32	0.13	0.27	-0.04	-0.26	-0.63
Pa_0_1270	0.75	1.97	1.76	0.71	0.07	-0.07	-1.22	-2.23	-2.21	-1.48
Pa_0_1280	0.09	-0.38	0.21	-0.11	-0.46	-0.3	-0.09	0.24	0.28	0.2
Pa_0_1290	-0.43	0.68	-1.28	-0.76	0.39	0.16	0.59	-0.16	-0.25	0.29
Pa_0_130	0.59	1.28	0.38	-0.41	-0.04	-0.27	-0.19	0.04	-0.41	4.45
Pa_0_1300	-0.46	-0.03	-0.72	-0.28	0.04	-0.06	0.17	0.03	0.19	0.52
Pa_0_1310	-0.19	0.19	-0.51	-0.46	-0.3	-0.27	0.21	0.82	1.68	1.61
Pa_0_1320	-0.01	0.01	0.13	0.19	0.29	0.03	-0.32	-0.46	-0.52	-0.53
Pa_0_1330	0.04	0.03	-0.14	-0.06	-0.14	-0.03	0.19	0.16	-0.04	0.23
Pa_0_1335	-0.19	-0.22	0.02	-0.02	-0.25	-0.17	0.46	1.04	1.2	3.69
Pa_0_1340	0.04	0.14	-0.17	0.24	-0.22	-0.03	-0.18	0.03	0.08	-0.18
Pa_0_1350	0.41	-0.03	-0.22	0.19	0.03	0.27	-0.21	-0.29	-0.32	1.84
Pa_0_1360	-1.11	-0.11	-0.63	-0.59	-0.06	0.09	0.53	0.67	0.3	0.06
Pa_0_1370	-0.53	-0.51	0	-0.2	0	0.09	-0.02	0.04	0.19	0.12
Pa_0_1380	-0.35	0.24	-0.2	-0.11	-0.09	0.09	0.55	0.61	0.19	-0.4
Pa_0_1390	0.2	0.03	1.08	-0.03	0.33	0.86	-0.37	-0.73	-1.33	-1.04
Pa_0_140	0.77	0.83	0.58	0.15	-0.01	-0.05	0.01	-0.2	-0.69	-1.06
Pa_0_1400	-0.11	-0.42	-0.22	0.07	-0.11	-0.07	0.33	0.47	0.73	0.77
Pa_0_1410	-0.25	0.25	1.23	0.91	0.62	0.52	-0.44	-1.23	-1.62	-0.33
Pa_0_1420	-0.21	-0.48	-0.4	-0.34	0.19	0	0	0.93	2.46	3.57
Pa_0_1430	0.21	-0.21	-0.19	0.49	-0.03	0.03	-0.03	0.28	0.11	-0.41
Pa_0_1440	0.18	0.24	-0.53	0.21	0.42	0.57	-0.18	-1.32	-1.73	-1.4
Pa_0_1450	-0.08	-0.21	-0.35	0.07	0.74	0.48	0.32	0.41	-0.07	-0.66
Pa_0_1460	-0.98	-0.01	0.07	0	0	0.04	-0.23	0.23	0.13	-0.09
Pa_0_1470	-0.3	-0.26	-0.29	-0.08	0.08	-0.13	0.61	1.95	3.73	3.92
Pa_0_1480	-0.25	-0.18	-0.23	0.23	0.35	0.18	0.54	0.21	-0.2	-0.78
