Gene	Wave	query name	accession
Acyl	Wave IV	#N/A	#N/A
alpha_ORF	0	#N/A	#N/A
atp6	0	#N/A	#N/A
atp8	0	#N/A	#N/A
cob	0	#N/A	#N/A
cox1	0	#N/A	#N/A
cox1_int4	0	#N/A	#N/A
cox2	0	#N/A	#N/A
cox3	0	#N/A	#N/A
cytb	0	#N/A	#N/A
FMR1	Wave IV	#N/A	#N/A
nad1	0	#N/A	#N/A
nad2	0	#N/A	#N/A
nad3	0	#N/A	#N/A
nad4	0	#N/A	#N/A
nad4L	0	#N/A	#N/A
nad5	0	#N/A	#N/A
nad6	0	#N/A	#N/A
Pa_0_10	0	PEX11	PF05648.17
Pa_0_100	0	#N/A	#N/A
Pa_0_1000	0	GTP_cyclohydroI	PF01227.25
Pa_0_1010	0	TAFII28	PF04719.17
Pa_0_1020	0	#N/A	#N/A
Pa_0_1030	0	Ribosomal_L27	PF01016.22
Pa_0_1040	0	#N/A	#N/A
Pa_0_1050	0	IPP-2	PF04979.17
Pa_0_1060	0	MFS_1	PF07690.19
Pa_0_1070	0	Zn_clus	PF00172.21
Pa_0_1080	0	MIOX	PF05153.18
Pa_0_1090	0	NAD_binding_11	PF14833.9
Pa_0_110	0	Abhydrolase_3	PF07859.16
Pa_0_1100	0	Lactamase_B	PF00753.30
Pa_0_1110	0	ADH_N	PF08240.15
Pa_0_1120	0	CMD	PF02627.23
Pa_0_1130	Wave II	#N/A	#N/A
Pa_0_1140	0	NAD_binding_11	PF14833.9
Pa_0_1150	0	#N/A	#N/A
Pa_0_1160	0	#N/A	#N/A
Pa_0_1170	Wave V	ATPgrasp_YheCD	PF14398.9
Pa_0_1180	0	#N/A	#N/A
Pa_0_1190	Wave II	Aminotran_5	PF00266.22
Pa_0_120	0	FAD_binding_3	PF01494.22
Pa_0_1200	0	#N/A	#N/A
Pa_0_1210	0	Adap_comp_sub	PF00928.24
Pa_0_1220	0	Opi1	PF08618.13
Pa_0_1230	0	#N/A	#N/A
Pa_0_1240	Wave II	#N/A	#N/A
Pa_0_1250	0	CBM_1	PF00734.21
Pa_0_1260	0	PLDc	PF00614.25
Pa_0_1270	Wave II	MFS_1	PF07690.19
Pa_0_1280	0	Bestrophin	PF01062.24
Pa_0_1290	0	#N/A	#N/A
Pa_0_130	0	PBP	PF01161.23
Pa_0_1300	0	Adap_comp_sub	PF00928.24
Pa_0_1310	0	Glyco_hydro_16	PF00722.24
Pa_0_1320	0	Glyco_hydro_79C	PF16862.8
Pa_0_1330	0	AMP_N	PF05195.19
Pa_0_1335	0	#N/A	#N/A
Pa_0_1340	0	Cyclin	PF08613.14
Pa_0_1350	0	TPP_enzyme_C	PF02775.24
Pa_0_1360	0	AbfB	PF05270.16
Pa_0_1370	0	Glyco_hydro_62	PF03664.16
Pa_0_1380	0	EHN	PF06441.15
Pa_0_1390	0	#N/A	#N/A
Pa_0_140	0	MAPEG	PF01124.21
Pa_0_1400	0	PA	PF02225.25
Pa_0_1410	Wave II	#N/A	#N/A
Pa_0_1420	Wave IV	SET	PF00856.31
Pa_0_1430	0	SIR2	PF02146.20
Pa_0_1440	0	PA	PF02225.25
