DE_gene		UP000001056_306901	UP000001805_367110	UP000001881_771870	UP000008984_431241	pa_allcds_prot_6_32
Pa_0_100	OG0008283	tr|Q2H294|Q2H294_CHAGB				Pa_0_100|chrm6|Putative
Pa_0_1080	OG0002895	tr|Q2GML9|Q2GML9_CHAGB	tr|Q1K733|Q1K733_NEUCR	tr|F7W905|F7W905_SORMK	tr|G0R8M5|G0R8M5_HYPJQ	Pa_0_1080|chrm2|Putative
Pa_0_110	OG0001053	tr|Q2H2F7|Q2H2F7_CHAGB, tr|Q2H955|Q2H955_CHAGB	tr|Q7RZS2|Q7RZS2_NEUCR	tr|F7VYD8|F7VYD8_SORMK		Pa_0_110|chrm6|Putative, Pa_7_7500|chrm7|Putative
Pa_0_1100	OG0009205				tr|G0RSW1|G0RSW1_HYPJQ	Pa_0_1100|chrm2|Putative
Pa_0_1110	OG0000334	tr|Q2GPB9|Q2GPB9_CHAGB	sp|Q9P6C8|ADH1_NEUCR, tr|Q7SG88|Q7SG88_NEUCR	tr|F7VPK8|F7VPK8_SORMK, tr|F7VTI5|F7VTI5_SORMK, tr|F7VTY4|F7VTY4_SORMK	tr|G0RSG5|G0RSG5_HYPJQ	Pa_0_1110|chrm2|Putative, Pa_1_22350|chrm1|Putative, Pa_3_7460|chrm3|Putative
Pa_0_1160	OG0007622		tr|Q7S1S5|Q7S1S5_NEUCR	tr|F7W2T8|F7W2T8_SORMK		Pa_0_1160|chrm2|Putative
Pa_0_1170	OG0008281	tr|Q2H1T3|Q2H1T3_CHAGB				Pa_0_1170|chrm2|Putative
Pa_0_1180	OG0006486	tr|Q2GMN7|Q2GMN7_CHAGB	tr|V5IMH9|V5IMH9_NEUCR		tr|G0RH75|G0RH75_HYPJQ	Pa_0_1180|chrm2|Putative
Pa_0_1190	OG0006665	tr|Q2GMM9|Q2GMM9_CHAGB	tr|Q7S1C3|Q7S1C3_NEUCR	tr|F7W867|F7W867_SORMK		Pa_0_1190|chrm2|Putative
Pa_0_120	OG0006048	tr|Q2H297|Q2H297_CHAGB			tr|G0RK24|G0RK24_HYPJQ	Pa_0_120|chrm6|Putative, Pa_3_6360|chrm3|Putative
Pa_0_1230	OG0008142	tr|Q2GMP5|Q2GMP5_CHAGB				Pa_0_1230|chrm2|Putative
Pa_0_1240	OG0007954					Pa_0_1240|chrm2|Putative, Pa_1_23155|chrm1|Putative, Pa_4_415|chrm4|Putative
