Orthogroup	UP000001056_306901	UP000001805_367110	UP000001881_771870	UP000008984_431241	pa_allcds_prot_6_32
OG0000000	tr|Q0C721|Q0C721_CHAGB, tr|Q2GLW5|Q2GLW5_CHAGB, tr|Q2GLY0|Q2GLY0_CHAGB, tr|Q2GM08|Q2GM08_CHAGB, tr|Q2GM14|Q2GM14_CHAGB, tr|Q2GMI1|Q2GMI1_CHAGB, tr|Q2GMJ9|Q2GMJ9_CHAGB, tr|Q2GMK3|Q2GMK3_CHAGB, tr|Q2GMK9|Q2GMK9_CHAGB, tr|Q2GMM8|Q2GMM8_CHAGB, tr|Q2GN12|Q2GN12_CHAGB, tr|Q2GN29|Q2GN29_CHAGB, tr|Q2GN68|Q2GN68_CHAGB, tr|Q2GNY6|Q2GNY6_CHAGB, tr|Q2GPK1|Q2GPK1_CHAGB, tr|Q2GPQ2|Q2GPQ2_CHAGB, tr|Q2GPR2|Q2GPR2_CHAGB, tr|Q2GQF0|Q2GQF0_CHAGB, tr|Q2GR64|Q2GR64_CHAGB, tr|Q2GRB7|Q2GRB7_CHAGB, tr|Q2GRF1|Q2GRF1_CHAGB, tr|Q2GSU5|Q2GSU5_CHAGB, tr|Q2GT77|Q2GT77_CHAGB, tr|Q2GTA8|Q2GTA8_CHAGB, tr|Q2GTB8|Q2GTB8_CHAGB, tr|Q2GTW0|Q2GTW0_CHAGB, tr|Q2GTX8|Q2GTX8_CHAGB, tr|Q2GTZ5|Q2GTZ5_CHAGB, tr|Q2GTZ8|Q2GTZ8_CHAGB, tr|Q2GU11|Q2GU11_CHAGB, tr|Q2GUG0|Q2GUG0_CHAGB, tr|Q2GUM8|Q2GUM8_CHAGB, tr|Q2GUQ5|Q2GUQ5_CHAGB, tr|Q2GUS1|Q2GUS1_CHAGB, tr|Q2GVD8|Q2GVD8_CHAGB, tr|Q2GVG7|Q2GVG7_CHAGB, tr|Q2GVJ1|Q2GVJ1_CHAGB, tr|Q2GWI4|Q2GWI4_CHAGB, tr|Q2GXA0|Q2GXA0_CHAGB, tr|Q2GXC5|Q2GXC5_CHAGB, tr|Q2GYT6|Q2GYT6_CHAGB, tr|Q2GZ07|Q2GZ07_CHAGB, tr|Q2GZ39|Q2GZ39_CHAGB, tr|Q2GZ59|Q2GZ59_CHAGB, tr|Q2GZ80|Q2GZ80_CHAGB, tr|Q2GZE8|Q2GZE8_CHAGB, tr|Q2GZI0|Q2GZI0_CHAGB, tr|Q2H1C1|Q2H1C1_CHAGB, tr|Q2H281|Q2H281_CHAGB, tr|Q2H2Q1|Q2H2Q1_CHAGB, tr|Q2H393|Q2H393_CHAGB, tr|Q2H5A3|Q2H5A3_CHAGB, tr|Q2H5J7|Q2H5J7_CHAGB, tr|Q2H5K1|Q2H5K1_CHAGB, tr|Q2H5K7|Q2H5K7_CHAGB, tr|Q2H5N5|Q2H5N5_CHAGB, tr|Q2H5N8|Q2H5N8_CHAGB, tr|Q2H732|Q2H732_CHAGB, tr|Q2H757|Q2H757_CHAGB, tr|Q2H7D9|Q2H7D9_CHAGB, tr|Q2H7S3|Q2H7S3_CHAGB, tr|Q2H8B4|Q2H8B4_CHAGB, tr|Q2H8X1|Q2H8X1_CHAGB, tr|Q2H924|Q2H924_CHAGB, tr|Q2H9D7|Q2H9D7_CHAGB, tr|Q2HAP6|Q2HAP6_CHAGB, tr|Q2HAQ9|Q2HAQ9_CHAGB, tr|Q2HBK6|Q2HBK6_CHAGB, tr|Q2HBL0|Q2HBL0_CHAGB, tr|Q2HBW3|Q2HBW3_CHAGB, tr|Q2HC13|Q2HC13_CHAGB, tr|Q2HC51|Q2HC51_CHAGB, tr|Q2HCI1|Q2HCI1_CHAGB, tr|Q2HCQ6|Q2HCQ6_CHAGB, tr|Q2HE83|Q2HE83_CHAGB, tr|Q2HEN6|Q2HEN6_CHAGB, tr|Q2HF83|Q2HF83_CHAGB, tr|Q2HFT3|Q2HFT3_CHAGB, tr|Q2HH17|Q2HH17_CHAGB, tr|Q2HHI1|Q2HHI1_CHAGB, tr|Q2HHU3|Q2HHU3_CHAGB, tr|Q2HHX0|Q2HHX0_CHAGB, tr|Q2HI14|Q2HI14_CHAGB				Pa_4_1180|chrm4|Putative
OG0000001	tr|Q2GLW4|Q2GLW4_CHAGB, tr|Q2GM09|Q2GM09_CHAGB, tr|Q2GM16|Q2GM16_CHAGB, tr|Q2GM30|Q2GM30_CHAGB, tr|Q2GM97|Q2GM97_CHAGB, tr|Q2GML0|Q2GML0_CHAGB, tr|Q2GMR4|Q2GMR4_CHAGB, tr|Q2GMT1|Q2GMT1_CHAGB, tr|Q2GMV1|Q2GMV1_CHAGB, tr|Q2GMZ0|Q2GMZ0_CHAGB, tr|Q2GMZ6|Q2GMZ6_CHAGB, tr|Q2GMZ8|Q2GMZ8_CHAGB, tr|Q2GN74|Q2GN74_CHAGB, tr|Q2GNF0|Q2GNF0_CHAGB, tr|Q2GNH3|Q2GNH3_CHAGB, tr|Q2GNI1|Q2GNI1_CHAGB, tr|Q2GNM2|Q2GNM2_CHAGB, tr|Q2GQV1|Q2GQV1_CHAGB, tr|Q2GR39|Q2GR39_CHAGB, tr|Q2GRJ9|Q2GRJ9_CHAGB, tr|Q2GRR7|Q2GRR7_CHAGB, tr|Q2GS14|Q2GS14_CHAGB, tr|Q2GT52|Q2GT52_CHAGB, tr|Q2GT78|Q2GT78_CHAGB, tr|Q2GTS7|Q2GTS7_CHAGB, tr|Q2GTS8|Q2GTS8_CHAGB, tr|Q2GU19|Q2GU19_CHAGB, tr|Q2GU31|Q2GU31_CHAGB, tr|Q2GU72|Q2GU72_CHAGB, tr|Q2GU99|Q2GU99_CHAGB, tr|Q2GUJ2|Q2GUJ2_CHAGB, tr|Q2GUK6|Q2GUK6_CHAGB, tr|Q2GUK8|Q2GUK8_CHAGB, tr|Q2GUK9|Q2GUK9_CHAGB, tr|Q2GUL9|Q2GUL9_CHAGB, tr|Q2GUM6|Q2GUM6_CHAGB, tr|Q2GWV3|Q2GWV3_CHAGB, tr|Q2GWV4|Q2GWV4_CHAGB, tr|Q2GYR8|Q2GYR8_CHAGB, tr|Q2GYS3|Q2GYS3_CHAGB, tr|Q2GYT7|Q2GYT7_CHAGB, tr|Q2GYT8|Q2GYT8_CHAGB, tr|Q2GYX3|Q2GYX3_CHAGB, tr|Q2GYY0|Q2GYY0_CHAGB, tr|Q2GZ58|Q2GZ58_CHAGB, tr|Q2GZ64|Q2GZ64_CHAGB, tr|Q2GZF1|Q2GZF1_CHAGB, tr|Q2GZV9|Q2GZV9_CHAGB, tr|Q2H1A1|Q2H1A1_CHAGB, tr|Q2H276|Q2H276_CHAGB, tr|Q2H2A3|Q2H2A3_CHAGB, tr|Q2H2G8|Q2H2G8_CHAGB, tr|Q2H3A2|Q2H3A2_CHAGB, tr|Q2H3B9|Q2H3B9_CHAGB, tr|Q2H3D2|Q2H3D2_CHAGB, tr|Q2H3H1|Q2H3H1_CHAGB, tr|Q2H3H2|Q2H3H2_CHAGB, tr|Q2H3H3|Q2H3H3_CHAGB, tr|Q2H7D6|Q2H7D6_CHAGB, tr|Q2H7J2|Q2H7J2_CHAGB, tr|Q2H7J4|Q2H7J4_CHAGB, tr|Q2H7W0|Q2H7W0_CHAGB, tr|Q2H876|Q2H876_CHAGB, tr|Q2H8L4|Q2H8L4_CHAGB, tr|Q2HBM2|Q2HBM2_CHAGB, tr|Q2HBP7|Q2HBP7_CHAGB, tr|Q2HBZ6|Q2HBZ6_CHAGB, tr|Q2HCB7|Q2HCB7_CHAGB, tr|Q2HCC5|Q2HCC5_CHAGB, tr|Q2HCJ9|Q2HCJ9_CHAGB, tr|Q2HEM0|Q2HEM0_CHAGB, tr|Q2HEN3|Q2HEN3_CHAGB, tr|Q2HEW9|Q2HEW9_CHAGB, tr|Q2HH24|Q2HH24_CHAGB, tr|Q2HHJ7|Q2HHJ7_CHAGB, tr|Q2HHT5|Q2HHT5_CHAGB, tr|Q2HHU4|Q2HHU4_CHAGB, tr|Q2HHV3|Q2HHV3_CHAGB, tr|Q2HI82|Q2HI82_CHAGB, tr|Q2HIF1|Q2HIF1_CHAGB, tr|Q2HIF3|Q2HIF3_CHAGB				Pa_1_22375|chrm1|Putative
OG0000002	tr|Q2GLZ8|Q2GLZ8_CHAGB, tr|Q2H4S2|Q2H4S2_CHAGB, tr|Q2HHU0|Q2HHU0_CHAGB		tr|F7W279|F7W279_SORMK		Pa_0_410|chrm4|Putative, Pa_0_500|chrm2|Putative, Pa_1_1070|chrm1|Putative, Pa_1_13110|chrm1|Putative, Pa_1_1400|chrm1|Putative, Pa_1_16490|chrm1|Putative, Pa_1_4680|chrm1|Putative, Pa_2_4380|chrm2|Putative, Pa_2_6790|chrm2|Putative, Pa_2_8770|chrm2|Putative, Pa_3_11010|chrm3|Putative, Pa_3_11340|chrm3|Putative, Pa_3_5550|chrm3|Putative, Pa_3_5620|chrm3|Putative, Pa_3_5700|chrm3|Putative, Pa_3_8510|chrm3|Putative, Pa_3_8530|chrm3|Putative, Pa_3_9610|chrm3|Putative, Pa_3_9700|chrm3|Putative, Pa_4_1225|chrm4|Putative, Pa_4_1250|chrm4|Putative, Pa_4_1550|chrm4|Putative, Pa_4_1900|chrm4|Putative, Pa_4_3490|chrm4|Putative, Pa_4_440|chrm4|Putative, Pa_4_4450|chrm4|Putative, Pa_5_10680|chrm5|Putative, Pa_5_1080|chrm5|Putative, Pa_5_12230|chrm5|Putative, Pa_5_12310|chrm5|Putative, Pa_5_12320|chrm5|Putative, Pa_5_12570|chrm5|Putative, Pa_5_240|chrm5|Putative, Pa_5_3380|chrm5|Putative, Pa_5_3520|chrm5|Putative, Pa_5_3590|chrm5|Putative, Pa_5_3920|chrm5|Putative, Pa_5_4510|chrm5|Putative, Pa_5_7300|chrm5|Putative, Pa_5_7690|chrm5|Putative, Pa_5_7850|chrm5|Putative, Pa_5_7870|chrm5|Putative, Pa_6_10460|chrm6|Putative, Pa_6_1970|chrm6|Putative, Pa_6_2290|chrm6|Putative, Pa_6_2390|chrm6|Putative, Pa_6_3200|chrm6|Putative, Pa_6_3470|chrm6|Putative, Pa_6_3480|chrm6|Putative, Pa_6_6980|chrm6|Putative, Pa_6_8050|chrm6|Putative, Pa_6_8270|chrm6|Putative, Pa_7_10750|chrm7|Putative, Pa_7_3460|chrm7|Putative, Pa_7_6240|chrm7|Putative, Pa_7_8910|chrm7|Putative
OG0000003	sp|Q2HDL4|LAEA_CHAGB, tr|Q2GT37|Q2GT37_CHAGB, tr|Q2GY65|Q2GY65_CHAGB, tr|Q2GYP1|Q2GYP1_CHAGB, tr|Q2GZ34|Q2GZ34_CHAGB, tr|Q2H011|Q2H011_CHAGB, tr|Q2H2N0|Q2H2N0_CHAGB, tr|Q2H4T6|Q2H4T6_CHAGB, tr|Q2H5I6|Q2H5I6_CHAGB, tr|Q2H7P3|Q2H7P3_CHAGB, tr|Q2HC05|Q2HC05_CHAGB, tr|Q2HGH6|Q2HGH6_CHAGB, tr|Q2HI85|Q2HI85_CHAGB	tr|Q1K5V1|Q1K5V1_NEUCR, tr|Q7S6T8|Q7S6T8_NEUCR, tr|Q7SH80|Q7SH80_NEUCR, tr|V5IP61|V5IP61_NEUCR, tr|V5IRQ7|V5IRQ7_NEUCR	tr|F7VMV9|F7VMV9_SORMK, tr|F7VQH9|F7VQH9_SORMK, tr|F7VRT3|F7VRT3_SORMK, tr|F7VTW5|F7VTW5_SORMK, tr|F7W1G5|F7W1G5_SORMK, tr|F7W7B2|F7W7B2_SORMK	sp|G0RNN3|LAEA_HYPJQ, tr|G0RA13|G0RA13_HYPJQ, tr|G0RIE5|G0RIE5_HYPJQ, tr|G0RIG7|G0RIG7_HYPJQ, tr|G0RIL2|G0RIL2_HYPJQ, tr|G0RJR2|G0RJR2_HYPJQ, tr|G0RK11|G0RK11_HYPJQ, tr|G0RKK1|G0RKK1_HYPJQ, tr|G0RM33|G0RM33_HYPJQ, tr|G0RQP9|G0RQP9_HYPJQ, tr|G0RT59|G0RT59_HYPJQ, tr|G0RTQ5|G0RTQ5_HYPJQ, tr|G0RWK1|G0RWK1_HYPJQ, tr|G0RXM9|G0RXM9_HYPJQ	Pa_1_17040|chrm1|Putative, Pa_1_2300|chrm1|Putative, Pa_2_14000|chrm2|Putative, Pa_2_1800|chrm2|Putative, Pa_2_4300|chrm2|Putative, Pa_3_2510|chrm3|Putative, Pa_3_3440|chrm3|Putative, Pa_3_560|chrm3|Putative, Pa_4_3180|chrm4|Putative, Pa_4_4590|chrm4|Putative, Pa_5_1060|chrm5|Putative, Pa_5_12360|chrm5|Putative, Pa_5_2670|chrm5|Putative, Pa_6_7000|chrm6|Putative, Pa_6_8560|chrm6|Putative, Pa_6_8910|chrm6|Putative, Pa_7_430|chrm7|Putative
OG0000004	tr|Q2GN92|Q2GN92_CHAGB, tr|Q2GQ77|Q2GQ77_CHAGB, tr|Q2GRB6|Q2GRB6_CHAGB, tr|Q2GRD4|Q2GRD4_CHAGB, tr|Q2GU51|Q2GU51_CHAGB, tr|Q2GUP5|Q2GUP5_CHAGB, tr|Q2GX37|Q2GX37_CHAGB, tr|Q2GYQ7|Q2GYQ7_CHAGB, tr|Q2H208|Q2H208_CHAGB, tr|Q2H2H2|Q2H2H2_CHAGB, tr|Q2H7F1|Q2H7F1_CHAGB, tr|Q2H8H3|Q2H8H3_CHAGB, tr|Q2H8I1|Q2H8I1_CHAGB, tr|Q2H8P4|Q2H8P4_CHAGB, tr|Q2HC78|Q2HC78_CHAGB, tr|Q2HCR8|Q2HCR8_CHAGB, tr|Q2HHL5|Q2HHL5_CHAGB, tr|Q2HI29|Q2HI29_CHAGB	tr|Q1K8L4|Q1K8L4_NEUCR, tr|Q7S108|Q7S108_NEUCR, tr|Q7S4S4|Q7S4S4_NEUCR, tr|Q7S676|Q7S676_NEUCR, tr|Q7S815|Q7S815_NEUCR, tr|Q7SAA6|Q7SAA6_NEUCR	tr|F7VNS1|F7VNS1_SORMK, tr|F7VVH3|F7VVH3_SORMK, tr|F7VXC0|F7VXC0_SORMK, tr|F7VZE5|F7VZE5_SORMK, tr|F7W2U1|F7W2U1_SORMK, tr|F7W4D0|F7W4D0_SORMK, tr|F7W8Y5|F7W8Y5_SORMK, tr|F7WC40|F7WC40_SORMK		Pa_0_510|chrm2|Putative, Pa_2_13480|chrm2|Putative, Pa_2_4920|chrm2|Putative, Pa_2_6880|chrm2|Putative, Pa_2_8150|chrm2|Putative, Pa_4_1410|chrm4|Putative, Pa_4_1430|chrm4|Putative, Pa_4_2090|chrm4|Putative, Pa_4_5430|chrm4|Putative, Pa_5_12920|chrm5|Putative, Pa_5_2860|chrm5|Putative, Pa_5_3150|chrm5|Putative, Pa_5_4090|chrm5|Putative, Pa_5_410|chrm5|Putative, Pa_5_4300|chrm5|Putative, Pa_5_4810|chrm5|Putative, Pa_5_6700|chrm5|Putative, Pa_5_7770|chrm5|Putative, Pa_6_11760|chrm6|Putative, Pa_7_3440|chrm7|Putative, Pa_7_3450|chrm7|Putative, Pa_7_3570|chrm7|Putative, Pa_7_8950|chrm7|Putative
OG0000005	tr|Q2GM12|Q2GM12_CHAGB, tr|Q2GMC3|Q2GMC3_CHAGB, tr|Q2GMC5|Q2GMC5_CHAGB, tr|Q2GMV2|Q2GMV2_CHAGB, tr|Q2GMV3|Q2GMV3_CHAGB, tr|Q2GMV5|Q2GMV5_CHAGB, tr|Q2GN93|Q2GN93_CHAGB, tr|Q2GNI0|Q2GNI0_CHAGB, tr|Q2GPZ8|Q2GPZ8_CHAGB, tr|Q2GQ65|Q2GQ65_CHAGB, tr|Q2GQJ9|Q2GQJ9_CHAGB, tr|Q2GR88|Q2GR88_CHAGB, tr|Q2GR89|Q2GR89_CHAGB, tr|Q2GRB5|Q2GRB5_CHAGB, tr|Q2GRT7|Q2GRT7_CHAGB, tr|Q2GRV3|Q2GRV3_CHAGB, tr|Q2GS28|Q2GS28_CHAGB, tr|Q2GS29|Q2GS29_CHAGB, tr|Q2GT79|Q2GT79_CHAGB, tr|Q2GT81|Q2GT81_CHAGB, tr|Q2GTV5|Q2GTV5_CHAGB, tr|Q2GU16|Q2GU16_CHAGB, tr|Q2GV33|Q2GV33_CHAGB, tr|Q2GWL5|Q2GWL5_CHAGB, tr|Q2GX01|Q2GX01_CHAGB, tr|Q2GXB3|Q2GXB3_CHAGB, tr|Q2GZ29|Q2GZ29_CHAGB, tr|Q2GZ61|Q2GZ61_CHAGB, tr|Q2H257|Q2H257_CHAGB, tr|Q2H2A0|Q2H2A0_CHAGB, tr|Q2H2L1|Q2H2L1_CHAGB, tr|Q2H3M6|Q2H3M6_CHAGB, tr|Q2H563|Q2H563_CHAGB, tr|Q2H617|Q2H617_CHAGB, tr|Q2H647|Q2H647_CHAGB, tr|Q2H7I5|Q2H7I5_CHAGB, tr|Q2H818|Q2H818_CHAGB, tr|Q2H9R9|Q2H9R9_CHAGB, tr|Q2HBJ3|Q2HBJ3_CHAGB, tr|Q2HBN8|Q2HBN8_CHAGB, tr|Q2HBS2|Q2HBS2_CHAGB, tr|Q2HBZ7|Q2HBZ7_CHAGB, tr|Q2HCE3|Q2HCE3_CHAGB, tr|Q2HCJ4|Q2HCJ4_CHAGB, tr|Q2HE80|Q2HE80_CHAGB, tr|Q2HEL8|Q2HEL8_CHAGB, tr|Q2HEV7|Q2HEV7_CHAGB, tr|Q2HF32|Q2HF32_CHAGB, tr|Q2HGA9|Q2HGA9_CHAGB, tr|Q2HHJ6|Q2HHJ6_CHAGB, tr|Q2HHJ8|Q2HHJ8_CHAGB, tr|Q2HHV1|Q2HHV1_CHAGB			tr|G0RGR4|G0RGR4_HYPJQ	Pa_6_10070|chrm6|Putative
OG0000006	tr|Q2GM27|Q2GM27_CHAGB, tr|Q2GM99|Q2GM99_CHAGB, tr|Q2GMS4|Q2GMS4_CHAGB, tr|Q2GMS5|Q2GMS5_CHAGB, tr|Q2GMU8|Q2GMU8_CHAGB, tr|Q2GN11|Q2GN11_CHAGB, tr|Q2GPX1|Q2GPX1_CHAGB, tr|Q2GQ59|Q2GQ59_CHAGB, tr|Q2GQU0|Q2GQU0_CHAGB, tr|Q2GR37|Q2GR37_CHAGB, tr|Q2GR48|Q2GR48_CHAGB, tr|Q2GR66|Q2GR66_CHAGB, tr|Q2GS30|Q2GS30_CHAGB, tr|Q2GT34|Q2GT34_CHAGB, tr|Q2GTI6|Q2GTI6_CHAGB, tr|Q2GTI9|Q2GTI9_CHAGB, tr|Q2GTY3|Q2GTY3_CHAGB, tr|Q2GUR6|Q2GUR6_CHAGB, tr|Q2GWU1|Q2GWU1_CHAGB, tr|Q2GXN9|Q2GXN9_CHAGB, tr|Q2GYY6|Q2GYY6_CHAGB, tr|Q2GZ06|Q2GZ06_CHAGB, tr|Q2GZG5|Q2GZG5_CHAGB, tr|Q2H197|Q2H197_CHAGB, tr|Q2H1C4|Q2H1C4_CHAGB, tr|Q2H1K1|Q2H1K1_CHAGB, tr|Q2H258|Q2H258_CHAGB, tr|Q2H2C3|Q2H2C3_CHAGB, tr|Q2H2X9|Q2H2X9_CHAGB, tr|Q2H3D1|Q2H3D1_CHAGB, tr|Q2H3E6|Q2H3E6_CHAGB, tr|Q2H3F1|Q2H3F1_CHAGB, tr|Q2H3G4|Q2H3G4_CHAGB, tr|Q2H4K3|Q2H4K3_CHAGB, tr|Q2H4Q7|Q2H4Q7_CHAGB, tr|Q2H5N6|Q2H5N6_CHAGB, tr|Q2H5S8|Q2H5S8_CHAGB, tr|Q2H759|Q2H759_CHAGB, tr|Q2H764|Q2H764_CHAGB, tr|Q2H888|Q2H888_CHAGB, tr|Q2H8Z3|Q2H8Z3_CHAGB, tr|Q2H9N1|Q2H9N1_CHAGB, tr|Q2HAP4|Q2HAP4_CHAGB, tr|Q2HBG8|Q2HBG8_CHAGB, tr|Q2HBJ0|Q2HBJ0_CHAGB, tr|Q2HEM1|Q2HEM1_CHAGB, tr|Q2HFK5|Q2HFK5_CHAGB, tr|Q2HH23|Q2HH23_CHAGB, tr|Q2HHN5|Q2HHN5_CHAGB, tr|Q2HI76|Q2HI76_CHAGB, tr|Q2HI83|Q2HI83_CHAGB			tr|G0R9V4|G0R9V4_HYPJQ	
OG0000007	tr|Q2GML2|Q2GML2_CHAGB, tr|Q2GQI7|Q2GQI7_CHAGB, tr|Q2GZU0|Q2GZU0_CHAGB, tr|Q2HIE4|Q2HIE4_CHAGB		tr|F7VZA1|F7VZA1_SORMK, tr|F7W8W1|F7W8W1_SORMK, tr|F7WBX4|F7WBX4_SORMK		Pa_1_1090|chrm1|Putative, Pa_1_1200|chrm1|Putative, Pa_1_16550|chrm1|Putative, Pa_1_18340|chrm1|Putative, Pa_1_22060|chrm1|Putative, Pa_1_22410|chrm1|Putative, Pa_1_4700|chrm1|Putative, Pa_1_5550|chrm1|Putative, Pa_1_570|chrm1|Putative, Pa_2_13550|chrm2|Putative, Pa_2_4570|chrm2|Putative, Pa_2_4760|chrm2|Putative, Pa_2_4875|chrm2|Putative, Pa_2_8040|chrm2|Putative, Pa_3_5670|chrm3|Putative, Pa_3_6350|chrm3|Putative, Pa_3_6560|chrm3|Putative, Pa_4_1120|chrm4|Putative, Pa_4_1720|chrm4|Putative, Pa_4_1800|chrm4|Putative, Pa_4_2140|chrm4|Putative, Pa_4_4730|chrm4|Putative, Pa_5_10010|chrm5|Putative, Pa_5_10170|chrm5|Putative, Pa_5_11730|chrm5|Putative, Pa_5_12575|chrm5|Putative, Pa_5_12640|chrm5|Putative, Pa_5_12680|chrm5|Putative, Pa_5_12908|chrm5|Putative, Pa_5_170|chrm5|Putative, Pa_5_2470|chrm5|Putative, Pa_5_6470|chrm5|Putative, Pa_5_6900|chrm5|Putative, Pa_5_6910|chrm5|Putative, Pa_5_7390|chrm5|Putative, Pa_5_7650|chrm5|Putative, Pa_5_7900|chrm5|Putative, Pa_6_110|chrm6|Putative, Pa_6_2400|chrm6|Putative, Pa_6_470|chrm6|Putative, Pa_6_6160|chrm6|Putative, Pa_6_7500|chrm6|Putative, Pa_6_8460|chrm6|Putative, Pa_7_9390|chrm7|Putative
OG0000008	tr|Q2GPP6|Q2GPP6_CHAGB, tr|Q2GR49|Q2GR49_CHAGB, tr|Q2GT21|Q2GT21_CHAGB, tr|Q2GU12|Q2GU12_CHAGB, tr|Q2GZH1|Q2GZH1_CHAGB, tr|Q2H375|Q2H375_CHAGB, tr|Q2H376|Q2H376_CHAGB, tr|Q2H5I7|Q2H5I7_CHAGB, tr|Q2HCM7|Q2HCM7_CHAGB, tr|Q2HHS2|Q2HHS2_CHAGB	tr|Q7S1A9|Q7S1A9_NEUCR, tr|Q7S328|Q7S328_NEUCR, tr|Q7S545|Q7S545_NEUCR, tr|Q7SFI0|Q7SFI0_NEUCR, tr|Q7SFX3|Q7SFX3_NEUCR	tr|F7VS31|F7VS31_SORMK, tr|F7VXN0|F7VXN0_SORMK, tr|F7W6N0|F7W6N0_SORMK, tr|F7WAP1|F7WAP1_SORMK, tr|F7WB70|F7WB70_SORMK, tr|F7WB79|F7WB79_SORMK, tr|F7WBH9|F7WBH9_SORMK, tr|F7WCP6|F7WCP6_SORMK	tr|G0R832|G0R832_HYPJQ, tr|G0R8W5|G0R8W5_HYPJQ, tr|G0R9K2|G0R9K2_HYPJQ, tr|G0RBS4|G0RBS4_HYPJQ, tr|G0RD30|G0RD30_HYPJQ, tr|G0RGX3|G0RGX3_HYPJQ, tr|G0RKX0|G0RKX0_HYPJQ, tr|G0RNM1|G0RNM1_HYPJQ, tr|G0RPH1|G0RPH1_HYPJQ, tr|G0RXB9|G0RXB9_HYPJQ	Pa_1_11010|chrm1|Putative, Pa_1_16010|chrm1|Putative, Pa_1_21560|chrm1|Putative, Pa_1_9960|chrm1|Putative, Pa_2_10320|chrm2|Putative, Pa_2_8360|chrm2|Putative, Pa_3_2420|chrm3|Putative, Pa_4_5610|chrm4|Putative, Pa_5_10600|chrm5|Putative, Pa_5_10880|chrm5|Putative, Pa_5_330|chrm5|Putative, Pa_6_10510|chrm6|Putative, Pa_6_2280|chrm6|Putative, Pa_7_3490|chrm7|Putative, Pa_7_4660|chrm7|Putative
OG0000009	sp|Q2HEW5|CHEA_CHAGB, tr|Q2GMA2|Q2GMA2_CHAGB, tr|Q2GMS3|Q2GMS3_CHAGB, tr|Q2GPY4|Q2GPY4_CHAGB, tr|Q2GQ03|Q2GQ03_CHAGB, tr|Q2GR90|Q2GR90_CHAGB, tr|Q2GRC6|Q2GRC6_CHAGB, tr|Q2GRM1|Q2GRM1_CHAGB, tr|Q2GTC5|Q2GTC5_CHAGB, tr|Q2GTC6|Q2GTC6_CHAGB, tr|Q2GTJ1|Q2GTJ1_CHAGB, tr|Q2GUG4|Q2GUG4_CHAGB, tr|Q2GUK1|Q2GUK1_CHAGB, tr|Q2GUN6|Q2GUN6_CHAGB, tr|Q2GUR1|Q2GUR1_CHAGB, tr|Q2GWG7|Q2GWG7_CHAGB, tr|Q2GYJ0|Q2GYJ0_CHAGB, tr|Q2GYJ1|Q2GYJ1_CHAGB, tr|Q2GYJ3|Q2GYJ3_CHAGB, tr|Q2GYJ6|Q2GYJ6_CHAGB, tr|Q2GYM5|Q2GYM5_CHAGB, tr|Q2H073|Q2H073_CHAGB, tr|Q2H2C4|Q2H2C4_CHAGB, tr|Q2H2Z4|Q2H2Z4_CHAGB, tr|Q2H3I0|Q2H3I0_CHAGB, tr|Q2H749|Q2H749_CHAGB, tr|Q2H7E3|Q2H7E3_CHAGB, tr|Q2H7M2|Q2H7M2_CHAGB, tr|Q2H834|Q2H834_CHAGB, tr|Q2H875|Q2H875_CHAGB, tr|Q2H878|Q2H878_CHAGB, tr|Q2H9A9|Q2H9A9_CHAGB, tr|Q2HB20|Q2HB20_CHAGB, tr|Q2HBK8|Q2HBK8_CHAGB, tr|Q2HC17|Q2HC17_CHAGB, tr|Q2HCJ3|Q2HCJ3_CHAGB, tr|Q2HEA2|Q2HEA2_CHAGB, tr|Q2HEA4|Q2HEA4_CHAGB, tr|Q2HGJ9|Q2HGJ9_CHAGB, tr|Q2HGK0|Q2HGK0_CHAGB, tr|Q2HHH9|Q2HHH9_CHAGB, tr|Q2HHU7|Q2HHU7_CHAGB, tr|Q2HHX9|Q2HHX9_CHAGB, tr|Q2HI77|Q2HI77_CHAGB, tr|Q2HI80|Q2HI80_CHAGB		tr|F7WBQ4|F7WBQ4_SORMK		Pa_1_16160|chrm1|Putative
